keyword,caption_name,topic_id,.1,.2,.3,.4,.5,.6,.7,.8,.9,.10,.11,.12,.13,.14,.15,.16,.17,Source link,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
chicago animal care and control,Chicago Animal Care and Control,188153,,,,,,,,,,,,,,,,,,http://chicago.gov,IndustryTerm,Chicago Animal Care and Control,,burbio_groups,9c68c6f2b52454ed1ea189614a850aa9,burbio_groups__9c68c6f2b52454ed1ea189614a850aa9
claremore animal shelter,Claremore Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://claremorecity.com,ForeignMinister,Claremore Animal Shelter,,burbio_groups,183e3df66887c8e26f599ac17de8a0d5,burbio_groups__183e3df66887c8e26f599ac17de8a0d5
clovis animal shelter,Clovis Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://cityofclovis.org,Diplomat,Clovis Animal Shelter,,burbio_groups,e17aa9bc1c3189363598a8d3da93510a,burbio_groups__e17aa9bc1c3189363598a8d3da93510a
colonial heights animal shelter volunteers,Colonial Heights Animal Shelter Volunteers,188153,,,,,,,,,,,,,,,,,,https://www.colonialheightsva.gov/,ForeignMinister,Colonial Heights Animal Shelter Volunteers,,burbio_groups,59efd1f964b868e912468e0a5fb6cc07,burbio_groups__59efd1f964b868e912468e0a5fb6cc07
city of columbia animal services,City of Columbia Animal Services,188153,,,,,,,,,,,,,,,,,,http://columbiasc.net,News,City of Columbia Animal Services,,burbio_groups,b4cae9c3e3f57da659b145741041ab01,burbio_groups__b4cae9c3e3f57da659b145741041ab01
cookeville putnam county animal shelter,Cookeville Putnam County Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://cookeville-tn.gov,Legislator,Cookeville Putnam County Animal Shelter,,burbio_groups,bf40db64573321f8c9725d9b93b7e7a9,burbio_groups__bf40db64573321f8c9725d9b93b7e7a9
fayetteville animal services,Fayetteville Animal Services,188153,,,,,,,,,,,,,,,,,,http://www.fayetteville-ar.gov/,Keyphrase,Fayetteville Animal Services,,burbio_groups,f9fb5c4242ce361b8a997e08a2b44c28,burbio_groups__f9fb5c4242ce361b8a997e08a2b44c28
city of forney animal shelter,City of Forney Animal Shelter,188153,,,,,,,,,,,,,,,,,,https://forneytx.gov/,IndustryTerm,City of Forney Animal Shelter,,burbio_groups,3217ea0160afeae8feff43eb42909ee9,burbio_groups__3217ea0160afeae8feff43eb42909ee9
fort worth animal care and control shelter,Fort Worth Animal Care and Control Shelter,188153,,,,,,,,,,,,,,,,,,http://fortworthtexas.gov/,Legislator,Fort Worth Animal Care and Control Shelter,,burbio_groups,a06fa4f80c873f159f3fac84d4b9cd28,burbio_groups__a06fa4f80c873f159f3fac84d4b9cd28
harrisonville animal shelter,Harrisonville Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://ci.harrisonville.mo.us,IndustryTerm,Harrisonville Animal Shelter,,burbio_groups,9671d5c5245fe2300def3e8aee679224,burbio_groups__9671d5c5245fe2300def3e8aee679224
city of henderson animal care & control,City of Henderson Animal Care and Control,188153,,,,,,,,,,,,,,,,,,http://cityofhenderson.com,Refinery,City of Henderson Animal Care and Control,,burbio_groups,7ced8fb4042506e5704e7249f44f90be,burbio_groups__7ced8fb4042506e5704e7249f44f90be
hesperia animal services,Hesperia Animal Services,188153,,,,,,,,,,,,,,,,,,http://cityofhesperia.us,Wells,Hesperia Animal Services,,burbio_groups,a1568a0a805ec0e9eed251d2173552a4,burbio_groups__a1568a0a805ec0e9eed251d2173552a4
city of greenbelt animal shelter,City of Greenbelt Animal Shelter,188153,,,,,,,,,,,,,,,,,,https://www.facebook.com/City-of-Greenbelt-Animal-Shelter-152733088961/,Person,City of Greenbelt Animal Shelter,,burbio_groups,b6ed315ca480571a128057c0f5deaf5a,burbio_groups__b6ed315ca480571a128057c0f5deaf5a
town of griffith animal control,Town of Griffith Animal Control,188153,,,,,,,,,,,,,,,,,,https://www.facebook.com/griffithindianaanimalcontrol,Pipeline,Town of Griffith Animal Control,,burbio_groups,9e50bbb34fa2641f8aa724a40a107be6,burbio_groups__9e50bbb34fa2641f8aa724a40a107be6
hot springs animal services,Hot Springs Animal Services,188153,,,,,,,,,,,,,,,,,,http://cityhs.net,Consulates,Hot Springs Animal Services,,burbio_groups,d7af77a8d591fe1b2a3b0f03e93cd8a7,burbio_groups__d7af77a8d591fe1b2a3b0f03e93cd8a7
huntsville animal shelter,Huntsville Animal Shelter,188153,,,,,,,,,,,,,,,,,,https://www.huntsvilleal.gov/environment/animal-services/,Media,Huntsville Animal Shelter,,burbio_groups,5bba4f8f86ac5e174cbf757647e864ad,burbio_groups__5bba4f8f86ac5e174cbf757647e864ad
irving animal care campus,Irving Animal Care Campus,188153,,,,,,,,,,,,,,,,,,http://cityofirving.org/Animal-Services?fbclid=IwAR2norqIRTKqcviVHvJfFY94sFLTnDD4EJyn5IfwDwTEUnnZ7A8FVIv-Cus,ForeignMinistry,Irving Animal Care Campus,,burbio_groups,8ca3d73f42939e40a149830fd154ec89,burbio_groups__8ca3d73f42939e40a149830fd154ec89
city of lagrange animal shelter,City of LaGrange Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://www.petango.com/,space,City of LaGrange Animal Shelter,,burbio_groups,df878b2724fc90d9fed24e8d93f9c90f,burbio_groups__df878b2724fc90d9fed24e8d93f9c90f
lawton animal welfare,Lawton Animal Welfare,188153,,,,,,,,,,,,,,,,,,http://lawtonok.gov,Wells,Lawton Animal Welfare,,burbio_groups,fb4f70c927501a6746bb33649c6f0e7f,burbio_groups__fb4f70c927501a6746bb33649c6f0e7f
lynn haven animal shelter,Lynn Haven Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://cityoflynnhaven.com,DiplomaticFacilities,Lynn Haven Animal Shelter,,burbio_groups,22a2e4ed45d68e5b058e021f93f0e94c,burbio_groups__22a2e4ed45d68e5b058e021f93f0e94c
city of marion: animal care & control,City of Marion Animal Care and Control,188153,,,,,,,,,,,,,,,,,,http://cityofmarion.in.gov,LegislativeCommittee,City of Marion Animal Care and Control,,burbio_groups,7d9a71e3a9ea7d4afc7239e3e7e502e2,burbio_groups__7d9a71e3a9ea7d4afc7239e3e7e502e2
midlothian animal shelter,Midlothian Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://midlothian.tx.us/,Shipping,Midlothian Animal Shelter,,burbio_groups,eb00d04905d1c0d0cf89b50fbf1cdadd,burbio_groups__eb00d04905d1c0d0cf89b50fbf1cdadd
midwest city animal welfare,Midwest City Animal Welfare,188153,,,,,,,,,,,,,,,,,,https://midwestcityok.org/,Person,Midwest City Animal Welfare,,burbio_groups,3bb95a18e4bfcfe5bdde100ed1bcc88b,burbio_groups__3bb95a18e4bfcfe5bdde100ed1bcc88b
city of mobile animal shelter,City of Mobile Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://cityofmobileanimalshelter.com,ForeignMinister,City of Mobile Animal Shelter,,burbio_groups,946e83817b9d57171d4cb4cb08a5136a,burbio_groups__946e83817b9d57171d4cb4cb08a5136a
friends of the mobile animal shelter,Friends of the Mobile Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://cityofmobileanimalshelter.com,space,Friends of the Mobile Animal Shelter,,burbio_groups,a4c72ed5a88dbfc99993512471aed005,burbio_groups__a4c72ed5a88dbfc99993512471aed005
mustang animal shelter,Mustang Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://cityofmustang.org,Organization,Mustang Animal Shelter,,burbio_groups,bde41fafc9a1d5f740266e696a6df4a1,burbio_groups__bde41fafc9a1d5f740266e696a6df4a1
newport news animal services,Newport News Animal Services,188153,,,,,,,,,,,,,,,,,,https://www.nnva.gov/,Media,Newport News Animal Services,,burbio_groups,0f52435c8298338a7b3966ebec130d51,burbio_groups__0f52435c8298338a7b3966ebec130d51
oklahoma city animal welfare,Oklahoma City Animal Welfare,188153,,,,,,,,,,,,,,,,,,https://www.okc.gov/departments/animal-welfare/,Diplomat,Oklahoma City Animal Welfare,,burbio_groups,9591a779a1b696e56cb9682d770e4bb8,burbio_groups__9591a779a1b696e56cb9682d770e4bb8
palo alto animal services,Palo Alto Animal Services,188153,,,,,,,,,,,,,,,,,,http://cityofpaloalto.org/,Media,Palo Alto Animal Services,,burbio_groups,11d5a63959faecd054bb62c8d9f174bd,burbio_groups__11d5a63959faecd054bb62c8d9f174bd
