german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#diesterwegstrasse,"Diesterwegstrasse in Munster, Germany",52.0013433,7.5993949,1,,,,,,News,"Diesterwegstrasse in Munster, Germany",,german_fires_munster_locations,7d7477fdd1864ec21930aebab4e7b8c0,german_fires_munster_locations__7d7477fdd1864ec21930aebab4e7b8c0
#dingbangerweg,"Dingbangerweg in Munster, Germany",51.9413996,7.5708804,1,,,,,,News,"Dingbangerweg in Munster, Germany",,german_fires_munster_locations,839aa5b72f9dee77429bedce1312161a,german_fires_munster_locations__839aa5b72f9dee77429bedce1312161a
#dingstiege,"Dingstiege in Munster, Germany",51.9787696,7.6694152,1,,,,,,space,"Dingstiege in Munster, Germany",,german_fires_munster_locations,8063ff2193c7d86bfd1ac0b6bfd3048e,german_fires_munster_locations__8063ff2193c7d86bfd1ac0b6bfd3048e
#dinkelweg,"Dinkelweg in Munster, Germany",51.8767362,7.6112585,1,,,,,,space,"Dinkelweg in Munster, Germany",,german_fires_munster_locations,a7a0062aa19efe29b279a370363a13ef,german_fires_munster_locations__a7a0062aa19efe29b279a370363a13ef
#dinklagestrasse,"Dinklagestrasse in Munster, Germany",51.9711643,7.6545933,1,,,,,,Legislator,"Dinklagestrasse in Munster, Germany",,german_fires_munster_locations,593a7d8c26cabeed074744be3b8e5928,german_fires_munster_locations__593a7d8c26cabeed074744be3b8e5928
#dirkvonmerveldtstrasse,"Dirk-von-Merveldt-Strasse in Munster, Germany",51.9183776,7.7254048,1,,,,,,Legislator,"Dirk-von-Merveldt-Strasse in Munster, Germany",,german_fires_munster_locations,b969efbcc3ef98945c9df5f0112cb0ac,german_fires_munster_locations__b969efbcc3ef98945c9df5f0112cb0ac
#disselbrede,"Disselbrede in Munster, Germany",51.9910932,7.7047244,1,,,,,,Organization,"Disselbrede in Munster, Germany",,german_fires_munster_locations,d1901697f19124697bcde2efe37af4d9,german_fires_munster_locations__d1901697f19124697bcde2efe37af4d9
#dodostrasse,"Dodostrasse in Munster, Germany",51.963193,7.6438299,1,,,,,,ForeignMinistry,"Dodostrasse in Munster, Germany",,german_fires_munster_locations,832fcf335209522c13006c61795d6938,german_fires_munster_locations__832fcf335209522c13006c61795d6938
#domagkstrasse,"Domagkstrasse in Munster, Germany",51.9631198,7.6014116,1,,,,,,Diplomat,"Domagkstrasse in Munster, Germany",,german_fires_munster_locations,c9905ba7339352126829f02d7bd57a2f,german_fires_munster_locations__c9905ba7339352126829f02d7bd57a2f
#domgasse,"Domgasse in Munster, Germany",51.9630104,7.6276512,1,,,,,,Legislator,"Domgasse in Munster, Germany",,german_fires_munster_locations,71557f50b9df1aff3e4b0a8edcda7ef6,german_fires_munster_locations__71557f50b9df1aff3e4b0a8edcda7ef6
