handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
alraimediagroup,al-Rai,Legislator,al-Rai,,basementions_mentioner,99c95cb325193e596549c7e5554e1e50,basementions_mentioner__99c95cb325193e596549c7e5554e1e50
koravko,YambolPres,Diplomat,YambolPres,,basementions_mentioner,555fb7a1f9bf66101d02ce298be645c2,basementions_mentioner__555fb7a1f9bf66101d02ce298be645c2
monitor_agency,Monitor,Wells,Monitor,,basementions_mentioner,d2986ac8cb6bd55892099c1ffd6b1f6f,basementions_mentioner__d2986ac8cb6bd55892099c1ffd6b1f6f
darikplovdiv,Darik Radio,ForeignMinister,Darik Radio,,basementions_mentioner,d4835fe58cfee6c203abb5d6ee273031,basementions_mentioner__d4835fe58cfee6c203abb5d6ee273031
merkur_de,Merkur,Consulates,Merkur,,basementions_mentioner,2c5545b326c663b9815bbead3690ab22,basementions_mentioner__2c5545b326c663b9815bbead3690ab22
ferizaj24,Ferizaj24,CompanyKeyword,Ferizaj24,,basementions_mentioner,e90d5be45c732d452932a00257466366,basementions_mentioner__e90d5be45c732d452932a00257466366
voixdedjibouti,La Voix de Djibouti,space,La Voix de Djibouti,,basementions_mentioner,4e73c6f4028f25b0dc34661eb11dd2ff,basementions_mentioner__4e73c6f4028f25b0dc34661eb11dd2ff
neakritigr,Nea Kriti,Consulates,Nea Kriti,,basementions_mentioner,45ca862862dcdd6a5a21e764b08e43ca,basementions_mentioner__45ca862862dcdd6a5a21e764b08e43ca
dxb_barq,Barq Dubai,AAEntity,Barq Dubai,,basementions_mentioner,e92f0c2278008623c03287966fa1ab52,basementions_mentioner__e92f0c2278008623c03287966fa1ab52
anadoluajansi,Anadlou Agency,Shipping,Anadlou Agency,,basementions_mentioner,6e62cc63241283b9c8b4da3e11d637d6,basementions_mentioner__6e62cc63241283b9c8b4da3e11d637d6
vgtvolt,VGtv Regional,Pipeline,VGtv Regional,,basementions_mentioner,914dfc495de05ba4b4be61ad317bf43b,basementions_mentioner__914dfc495de05ba4b4be61ad317bf43b
ziuadeconstanta,Ziua de Constanta,LegislativeCommittee,Ziua de Constanta,,basementions_mentioner,cebbdbcfc642bc39d557c91263d4ab68,basementions_mentioner__cebbdbcfc642bc39d557c91263d4ab68
ajabreaking,Al-Jazeera,Wells,Al-Jazeera,,basementions_mentioner,a71d31eb2a9c4addaaf13770a1ef1cb0,basementions_mentioner__a71d31eb2a9c4addaaf13770a1ef1cb0
latribunahn,Diario La Tribuna,ForeignMinister,Diario La Tribuna,,basementions_mentioner,8100d08fe981f3ee9a51a8083c5b4ca3,basementions_mentioner__8100d08fe981f3ee9a51a8083c5b4ca3
observadorpt,Observador,News,Observador,,basementions_mentioner,08dddfcba663e03ddc2afc1c7cfa512b,basementions_mentioner__08dddfcba663e03ddc2afc1c7cfa512b
highnorthnews,High North News,Legislator,High North News,,basementions_mentioner,8feacc78ddb1d5d7c3b7a1ace62bcc3d,basementions_mentioner__8feacc78ddb1d5d7c3b7a1ace62bcc3d
hbvl,HBVL,Organization,HBVL,,basementions_mentioner,cc202fa262b3187af96c61b9d58b62c1,basementions_mentioner__cc202fa262b3187af96c61b9d58b62c1
harjuelu,Harju Elu,ForeignMinistry,Harju Elu,,basementions_mentioner,ba99c2d2ae9e528fe6d5ade73b714279,basementions_mentioner__ba99c2d2ae9e528fe6d5ade73b714279
actuniger,Actu Niger,ForeignMinistry,Actu Niger,,basementions_mentioner,fe01a8b5b34c525ca36cba5f66962c6a,basementions_mentioner__fe01a8b5b34c525ca36cba5f66962c6a
airinfoagadez,Air Info,Wells,Air Info,,basementions_mentioner,27c4fb54ab75e577fbd8bd17e6e88b62,basementions_mentioner__27c4fb54ab75e577fbd8bd17e6e88b62
stiridecluj,Stiri de Cluj,AAEntity,Stiri de Cluj,,basementions_mentioner,6b90b09a341bf8616f120bfb46d718b0,basementions_mentioner__6b90b09a341bf8616f120bfb46d718b0
vguillermard,Defense reporter,Shipping,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
vincentlamigeon,Defense reporter,Media,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
eslavin_stripes,Defense reporter,Media,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
john_vandiver,Defense reporter,Pipeline,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
cygnusx112,Defense reporter,AAEntity,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
arawnsley,Defense reporter,CompanyKeyword,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
cavasships,Defense reporter,AAEntity,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
combatair,Defense reporter,Pipeline,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
marcusreports,Defense reporter,News,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
phildstewart,Defense reporter,Legislator,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
reutersaero,Defense reporter,Refinery,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
mgerrydoyle,Defense reporter,Keyphrase,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
aviation_intel,Defense reporter,Media,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
henrikenhmann,Defense reporter,space,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
thebaseleg,Defense reporter,Exec,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
