handle,caption_name,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kendilaniannbc,Defense reporter,,ForeignMinistry,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
kimdozier,Defense reporter,,Consulates,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
kingstonareif,Defense reporter,,ForeignMinistry,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
kristina_wong,Defense reporter,,ForeignMinistry,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
kylemizokami,Defense reporter,,Legislator,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
laraseligman,Defense reporter,,LegislativeCommittee,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
lbaldor,Defense reporter,,FTO,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
lbarronlopez,Defense reporter,,Pipeline,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
leehudson_,Defense reporter,,Keyphrase,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
lmartinezabc,Defense reporter,,AAEntity,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
markapomerleau,Defense reporter,,CompanyKeyword,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
mattspetalnick,Defense reporter,,LegislativeCommittee,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
micahzenko,Defense reporter,,space,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
michelletan32,Defense reporter,,IndustryTerm,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
nancyayoussef,Defense reporter,,DiplomaticFacilities,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
natashabertrand,Defense reporter,,FTO,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
natseccarlo,Defense reporter,,Diplomat,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
natsecwatson,Defense reporter,,Keyphrase,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
nicolecnn,Defense reporter,,ForeignMinistry,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
oriana0214,Defense reporter,,Keyphrase,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
pat_host,Defense reporter,,FTO,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
patricknkelley,Defense reporter,,Diplomat,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
pdshinkman,Defense reporter,,Organization,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
peterccook,Defense reporter,,AAEntity,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
philewing,Defense reporter,,AAEntity,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
readerrabott,Defense reporter,,IndustryTerm,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
reporterjoe,Defense reporter,,Consulates,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
rotorfocus,Defense reporter,,Shipping,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
russcanread,Defense reporter,,Media,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
samlagrone,Defense reporter,,space,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
scottshanenyt,Defense reporter,,LegislativeCommittee,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
stephenlosey,Defense reporter,,Person,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
sydneyfreedberg,Defense reporter,,CompanyKeyword,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
tbowmannpr,Defense reporter,,AAEntity,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
theworacle,Defense reporter,,CompanyKeyword,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
tmgneff,Defense reporter,,FTO,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
tonybertuca,Defense reporter,,Shipping,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
valerieinsinna,Defense reporter,,LegislativeCommittee,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
verambergen,Defense reporter,,ForeignMinistry,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
wesleysmorgan,Defense reporter,,Wells,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
yasmintadjdeh,Defense reporter,,LegislativeCommittee,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
zachfb,Defense reporter,,Shipping,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
zcohencnn,Defense reporter,,FTO,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jseldin,Defense reporter,,Legislator,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
taracopp,Defense reporter,,News,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
barbarastarrcnn,Defense reporter,,Media,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
rabrowne75,Defense reporter,,ForeignMinistry,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
maxjrosenthal,Defense reporter,,Shipping,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
