handle,caption_name,location,Type,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
laurapausini,Singer Laura Pausini,United States,Entertainment,united states,Entertainment,Singer Laura Pausini,,entertainment_mentioner,51367ffdff5923cea5f789e21ceb606b,entertainment_mentioner__51367ffdff5923cea5f789e21ceb606b
joelmchale,Joel McHale,United States,Entertainment,united states,Entertainment,Joel McHale,,entertainment_mentioner,f1404b85186aaa2fae52d995a6b810b2,entertainment_mentioner__f1404b85186aaa2fae52d995a6b810b2
billbailey,Comedian Bill Bailey,United States,Entertainment,united states,Entertainment,Comedian Bill Bailey,,entertainment_mentioner,035547bfa4d4f560010a45093a990db0,entertainment_mentioner__035547bfa4d4f560010a45093a990db0
officialwillow,Singer Willow Smith,United States,Entertainment,united states,Entertainment,Singer Willow Smith,,entertainment_mentioner,ebc3ec22b33738102365ff02a53cf324,entertainment_mentioner__ebc3ec22b33738102365ff02a53cf324
nathanfillion,Nathan Fillion,United States,Entertainment,united states,Entertainment,Nathan Fillion,,entertainment_mentioner,e32ce5f1809447cd0beb8395722f722a,entertainment_mentioner__e32ce5f1809447cd0beb8395722f722a
lizgillies,Actor Elizabeth Gillies,United States,Entertainment,united states,Entertainment,Actor Elizabeth Gillies,,entertainment_mentioner,2fc0d09b3186dd86b0a1e2fbd516ee74,entertainment_mentioner__2fc0d09b3186dd86b0a1e2fbd516ee74
symplysimi,Singer Simi,United States,Entertainment,united states,Entertainment,Singer Simi,,entertainment_mentioner,3a0e4e95cec895f7f55f2a1d662f83ae,entertainment_mentioner__3a0e4e95cec895f7f55f2a1d662f83ae
angeldebritook,Journalist Angel de Brito,United States,Entertainment,united states,Entertainment,Journalist Angel de Brito,,entertainment_mentioner,9b267a5478c78d6eadcdcfb4b2976c7f,entertainment_mentioner__9b267a5478c78d6eadcdcfb4b2976c7f
pinkfloyd,Pink Floyd,United States,Entertainment,united states,Entertainment,Pink Floyd,,entertainment_mentioner,56ee13ff49a1f625d9f761cb6854fea6,entertainment_mentioner__56ee13ff49a1f625d9f761cb6854fea6
atlee_dir,Director Atlee Kumar,United States,Entertainment,united states,Entertainment,Director Atlee Kumar,,entertainment_mentioner,f724408d70285c73ac861e3812ae1fd5,entertainment_mentioner__f724408d70285c73ac861e3812ae1fd5
sudaofficial,Actor Masaki Suda,United States,Entertainment,united states,Entertainment,Actor Masaki Suda,,entertainment_mentioner,169ed4db8e7d644e05d4bd8ee42b0b50,entertainment_mentioner__169ed4db8e7d644e05d4bd8ee42b0b50
aaroncarpenter,Musician Aaron Carpenter,United States,Entertainment,united states,Entertainment,Musician Aaron Carpenter,,entertainment_mentioner,a6db4530911c820719cce4d148a5dad3,entertainment_mentioner__a6db4530911c820719cce4d148a5dad3
billcosby,Bill Cosby,United States,Entertainment,united states,Entertainment,Bill Cosby,,entertainment_mentioner,433a04a8462f4d38f2012ae0e32c6526,entertainment_mentioner__433a04a8462f4d38f2012ae0e32c6526
vp_offl,Filmmaker Venkat Prabhu,United States,Entertainment,united states,Entertainment,Filmmaker Venkat Prabhu,,entertainment_mentioner,fc2a310ac570a13310a27032a8028346,entertainment_mentioner__fc2a310ac570a13310a27032a8028346
iamhamzaabbasi,Actor Hamza Ali Abbasi,United States,Entertainment,united states,Entertainment,Actor Hamza Ali Abbasi,,entertainment_mentioner,13eb3e6d5c0b23ffd00b0c0304c21434,entertainment_mentioner__13eb3e6d5c0b23ffd00b0c0304c21434
espinozaoficial,Musician Espinoza Paz,United States,Entertainment,united states,Entertainment,Musician Espinoza Paz,,entertainment_mentioner,7514b87a0a13e4f43984ca54ecedfebe,entertainment_mentioner__7514b87a0a13e4f43984ca54ecedfebe
gorachelleann,Singer Rachelle Ann Go,United States,Entertainment,united states,Entertainment,Singer Rachelle Ann Go,,entertainment_mentioner,bd2c96ecc331198ebf7caafaaa444550,entertainment_mentioner__bd2c96ecc331198ebf7caafaaa444550
camilamx,Band Camila,United States,Entertainment,united states,Entertainment,Band Camila,,entertainment_mentioner,ddd2b939a2f653141e194d8c0b3bb216,entertainment_mentioner__ddd2b939a2f653141e194d8c0b3bb216
laradutta,Actor Lara Dutta,United States,Entertainment,united states,Entertainment,Actor Lara Dutta,,entertainment_mentioner,4c06b3edf0ad6413b79bc583b850c933,entertainment_mentioner__4c06b3edf0ad6413b79bc583b850c933
kesharose,Kesha,United States,Entertainment,united states,Entertainment,Kesha,,entertainment_mentioner,8e35ce399f79db5792f2c2f76fefbdbc,entertainment_mentioner__8e35ce399f79db5792f2c2f76fefbdbc
vazqueznico,Actor Nico Vazquez,United States,Entertainment,united states,Entertainment,Actor Nico Vazquez,,entertainment_mentioner,8f6bf4c92638c39be48318b49a154d09,entertainment_mentioner__8f6bf4c92638c39be48318b49a154d09
gurdasmaan,Singer Gurdas Maan,United States,Entertainment,united states,Entertainment,Singer Gurdas Maan,,entertainment_mentioner,01c760f4d7cac1f2bd92b2044d4bffd0,entertainment_mentioner__01c760f4d7cac1f2bd92b2044d4bffd0
asseryassin,Actor Asser Yassin,United States,Entertainment,united states,Entertainment,Actor Asser Yassin,,entertainment_mentioner,e962e81822133279cb648a853cd972f5,entertainment_mentioner__e962e81822133279cb648a853cd972f5
