keyword,caption_name,groups,Location,Title,City,Organization Name (child),Organization Name (Intermediate),Twitter Handle,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
uzra zeya,US Under Secretary (Designate) Uzra Zeya,,USA,Under Secretary (Designate),Washington DC,"Under Secretary for Civilian Security, Democracy, and Human Rights",,UzraZeya,Refinery,US Under Secretary (Designate) Uzra Zeya,,bp_mentionee,c6e4408e0ca83af15784bedfd540406a,bp_mentionee__c6e4408e0ca83af15784bedfd540406a
the secretary of state,The Secretary of State,,United States,,,,,,Exec,The Secretary of State,,bp_mentionee,ab46520983ed081d1407059ce6879611,bp_mentionee__ab46520983ed081d1407059ce6879611
bureau of intelligence and research,Bureau of Intelligence and Research,,United States,,,,,,Person,Bureau of Intelligence and Research,,bp_mentionee,f2910a0acb3ee1fb5328b9b7eaeb7d9b,bp_mentionee__f2910a0acb3ee1fb5328b9b7eaeb7d9b
bureau of legislative affairs,Bureau of Legislative Affairs,,United States,,,,,,Keyphrase,Bureau of Legislative Affairs,,bp_mentionee,3130867d857569662ea9b87e0b56524e,bp_mentionee__3130867d857569662ea9b87e0b56524e
counselor of the department,Counselor of the Department,,United States,,,,,,IndustryTerm,Counselor of the Department,,bp_mentionee,af555d23181671cd2bf91c4013d9d679,bp_mentionee__af555d23181671cd2bf91c4013d9d679
executive secretariat,Executive Secretariat,,United States,,,,,,FTO,Executive Secretariat,,bp_mentionee,6c630384edd344afd432fbdc17e50c5b,bp_mentionee__6c630384edd344afd432fbdc17e50c5b
the global coalition to defeat isis,The Global Coalition To Defeat ISIS,,United States,,,,,,Refinery,The Global Coalition To Defeat ISIS,,bp_mentionee,54df38886ead76d12bc13b990ce39ac3,bp_mentionee__54df38886ead76d12bc13b990ce39ac3
office of the chief of protocol,Office of the Chief of Protocol,,United States,,,,,,Refinery,Office of the Chief of Protocol,,bp_mentionee,7635c015874e020d31e6df7b3a1d0159,bp_mentionee__7635c015874e020d31e6df7b3a1d0159
office of civil rights,Office of Civil Rights,,United States,,,,,,Keyphrase,Office of Civil Rights,,bp_mentionee,28dc68dae07b0a4aa26149ee0835921a,bp_mentionee__28dc68dae07b0a4aa26149ee0835921a
office of the coordinator for cyber issues,Office of the Coordinator for Cyber Issues,,United States,,,,,,CompanyKeyword,Office of the Coordinator for Cyber Issues,,bp_mentionee,428bafb753f24edd716e124d4a8b5138,bp_mentionee__428bafb753f24edd716e124d4a8b5138
office of foreign assistance,Office of Foreign Assistance,,United States,,,,,,space,Office of Foreign Assistance,,bp_mentionee,763d82cd242e5d3ca46be927dc976e0c,bp_mentionee__763d82cd242e5d3ca46be927dc976e0c
office of global women’s issues,Office of Global Women’s Issues,,United States,,,,,,space,Office of Global Women’s Issues,,bp_mentionee,2bc3997efc8a81e0c2a5b40d626a1aa8,bp_mentionee__2bc3997efc8a81e0c2a5b40d626a1aa8
office of the legal adviser,Office of the Legal Adviser,,United States,,,,,,Organization,Office of the Legal Adviser,,bp_mentionee,f1b75615ed56f7f560788417ca04ef2c,bp_mentionee__f1b75615ed56f7f560788417ca04ef2c
office of the ombudsman,Office of the Ombudsman,,United States,,,,,,AAEntity,Office of the Ombudsman,,bp_mentionee,94b9d1266e373f1ec770516d0309fcf2,bp_mentionee__94b9d1266e373f1ec770516d0309fcf2
office of the u.s. global aids coordinator and global health diplomacy,Office of the U.S. Global AIDS Coordinator and Global Health Diplomacy,,United States,,,,,,Person,Office of the U.S. Global AIDS Coordinator and Global Health Diplomacy,,bp_mentionee,fa75c7bd33d0a146e1fb85c236f2a2a1,bp_mentionee__fa75c7bd33d0a146e1fb85c236f2a2a1
policy planning staff,Policy Planning Staff,,United States,,,,,,IndustryTerm,Policy Planning Staff,,bp_mentionee,4d456e301f68ea23205741829b5db5f5,bp_mentionee__4d456e301f68ea23205741829b5db5f5
special presidential envoy for hostage affairs,Special Presidential Envoy for Hostage Affairs,,United States,,,,,,IndustryTerm,Special Presidential Envoy for Hostage Affairs,,bp_mentionee,55e2659f7aeb43c674fda3a43bd6e15b,bp_mentionee__55e2659f7aeb43c674fda3a43bd6e15b
special representative for afghanistan reconciliation,Special Representative for Afghanistan Reconciliation,,United States,,,,,,Refinery,Special Representative for Afghanistan Reconciliation,,bp_mentionee,c7a893ea86231a474968841ffb098f9c,bp_mentionee__c7a893ea86231a474968841ffb098f9c
special representative for iran,Special Representative for Iran,,United States,,,,,,IndustryTerm,Special Representative for Iran,,bp_mentionee,1c7944071d25f9b532434085cad58180,bp_mentionee__1c7944071d25f9b532434085cad58180
special representative for syria engagement,Special Representative for Syria Engagement,,United States,,,,,,Refinery,Special Representative for Syria Engagement,,bp_mentionee,eecdf5910f96e7412685f60d0718b0e1,bp_mentionee__eecdf5910f96e7412685f60d0718b0e1
special representative for venezuela,Special Representative for Venezuela,,United States,,,,,,Media,Special Representative for Venezuela,,bp_mentionee,293b9160193ba6a47c0d5d1de3ccb1f4,bp_mentionee__293b9160193ba6a47c0d5d1de3ccb1f4
u.s. security coordinator for israel and the palestinian authority,U.S. Security Coordinator for Israel and the Palestinian Authority,,United States,,,,,,Keyphrase,U.S. Security Coordinator for Israel and the Palestinian Authority,,bp_mentionee,79ecb23924e2d5f5073ae8a0657e42df,bp_mentionee__79ecb23924e2d5f5073ae8a0657e42df
deputy secretary of state,Deputy Secretary of State,,United States,,,,,,Consulates,Deputy Secretary of State,,bp_mentionee,4663f13dba10a3d91324af0dfdf44887,bp_mentionee__4663f13dba10a3d91324af0dfdf44887
office of small and disadvantaged business utilization,Office of Small and Disadvantaged Business Utilization,,United States,,,,,,Diplomat,Office of Small and Disadvantaged Business Utilization,,bp_mentionee,e2b702dfd526b55e0fd86195fd92828a,bp_mentionee__e2b702dfd526b55e0fd86195fd92828a
office of the u.s. coordinator for the arctic region,Office of the U.S. Coordinator for the Arctic Region,,United States,,,,,,Media,Office of the U.S. Coordinator for the Arctic Region,,bp_mentionee,82ac97ad4fbc9f241be7ab01a27f46ab,bp_mentionee__82ac97ad4fbc9f241be7ab01a27f46ab
under secretary for arms control and international security,Under Secretary for Arms Control and International Security,,United States,,,,,,News,Under Secretary for Arms Control and International Security,,bp_mentionee,5fab6f91171198eae83925cd50362a93,bp_mentionee__5fab6f91171198eae83925cd50362a93
"bureau of arms control, verification and compliance","Bureau of Arms Control, Verification and Compliance",,United States,,,,,,Wells,"Bureau of Arms Control, Verification and Compliance",,bp_mentionee,263914fa8420a41b5ff8cc9eda37bd67,bp_mentionee__263914fa8420a41b5ff8cc9eda37bd67
bureau of international security and nonproliferation,Bureau of International Security and Nonproliferation,,United States,,,,,,Legislator,Bureau of International Security and Nonproliferation,,bp_mentionee,564ce5298d50302e0bc5e861473a3854,bp_mentionee__564ce5298d50302e0bc5e861473a3854
bureau of political-military affairs,Bureau of Political-Military Affairs,,United States,,,,,,Pipeline,Bureau of Political-Military Affairs,,bp_mentionee,bf86ca0fbbbed1cb2e0688271897e1f0,bp_mentionee__bf86ca0fbbbed1cb2e0688271897e1f0
"under secretary for civilian security, democracy, and human rights","Under Secretary for Civilian Security, Democracy, and Human Rights",,United States,,,,,,Organization,"Under Secretary for Civilian Security, Democracy, and Human Rights",,bp_mentionee,5094287add011521bbf858d97f5a7794,bp_mentionee__5094287add011521bbf858d97f5a7794
bureau of conflict and stabilization operations,Bureau of Conflict and Stabilization Operations,,United States,,,,,,FTO,Bureau of Conflict and Stabilization Operations,,bp_mentionee,9f47e5ca7269090cd2d82fc3bd0abcbb,bp_mentionee__9f47e5ca7269090cd2d82fc3bd0abcbb
bureau of counterterrorism,Bureau of Counterterrorism,,United States,,,,,,Organization,Bureau of Counterterrorism,,bp_mentionee,4df2066d46f1f2e7430f1ab221ff4d55,bp_mentionee__4df2066d46f1f2e7430f1ab221ff4d55
"bureau of democracy, human rights, and labor","Bureau of Democracy, Human Rights, and Labor",,United States,,,,,,FTO,"Bureau of Democracy, Human Rights, and Labor",,bp_mentionee,b729b36ecc76f4827738a7b22e944d71,bp_mentionee__b729b36ecc76f4827738a7b22e944d71
bureau of international narcotics and law enforcement affairs,Bureau of International Narcotics and Law Enforcement Affairs,,United States,,,,,,Wells,Bureau of International Narcotics and Law Enforcement Affairs,,bp_mentionee,c2a5b898f665d59f428e40266df0e93f,bp_mentionee__c2a5b898f665d59f428e40266df0e93f
"bureau of population, refugees, and migration","Bureau of Population, Refugees, and Migration",,United States,,,,,,CompanyKeyword,"Bureau of Population, Refugees, and Migration",,bp_mentionee,8ddb66af257814d24df4d64e4ee6b00f,bp_mentionee__8ddb66af257814d24df4d64e4ee6b00f
office of global criminal justice,Office of Global Criminal Justice,,United States,,,,,,Media,Office of Global Criminal Justice,,bp_mentionee,76c6f49f1c31348fd3f8e481230bb668,bp_mentionee__76c6f49f1c31348fd3f8e481230bb668
office of international religious freedom,Office of International Religious Freedom,,United States,,,,,,FTO,Office of International Religious Freedom,,bp_mentionee,9f1db66aa3c4fcfb2a67f8c9ae713257,bp_mentionee__9f1db66aa3c4fcfb2a67f8c9ae713257
office of the special envoy to monitor and combat anti-semitism,Office of the Special Envoy To Monitor and Combat Anti-Semitism,,United States,,,,,,Keyphrase,Office of the Special Envoy To Monitor and Combat Anti-Semitism,,bp_mentionee,bed8797b804df66f6af316f98062bf6e,bp_mentionee__bed8797b804df66f6af316f98062bf6e
office of the u.s. special coordinator for tibetan issues,Office of the U.S. Special Coordinator for Tibetan Issues,,United States,,,,,,Shipping,Office of the U.S. Special Coordinator for Tibetan Issues,,bp_mentionee,46c8fc57285d7ee48090142c706595b6,bp_mentionee__46c8fc57285d7ee48090142c706595b6
office to monitor and combat trafficking in persons,Office to Monitor and Combat Trafficking in Persons,,United States,,,,,,Consulates,Office to Monitor and Combat Trafficking in Persons,,bp_mentionee,a4330a5136ecd2a2defabb77089f425b,bp_mentionee__a4330a5136ecd2a2defabb77089f425b
"under secretary for economic growth, energy, and the environment","Under Secretary for Economic Growth, Energy, and the Environment",,United States,,,,,,News,"Under Secretary for Economic Growth, Energy, and the Environment",,bp_mentionee,826c4a3491e881732a0a89007836eba0,bp_mentionee__826c4a3491e881732a0a89007836eba0
bureau of economic and business affairs,Bureau of Economic and Business Affairs,,United States,,,,,,FTO,Bureau of Economic and Business Affairs,,bp_mentionee,d2cc4390430fd730c75515b230d4a843,bp_mentionee__d2cc4390430fd730c75515b230d4a843
bureau of energy resources,Bureau of Energy Resources,,United States,,,,,,Wells,Bureau of Energy Resources,,bp_mentionee,23f7abd8d33934da84996ece7c2291ef,bp_mentionee__23f7abd8d33934da84996ece7c2291ef
bureau of oceans and international environmental and scientific affairs,Bureau of Oceans and International Environmental and Scientific Affairs,,United States,,,,,,IndustryTerm,Bureau of Oceans and International Environmental and Scientific Affairs,,bp_mentionee,690e0b507d7d539362122484060a1c30,bp_mentionee__690e0b507d7d539362122484060a1c30
office of global partnerships,Office of Global Partnerships,,United States,,,,,,Organization,Office of Global Partnerships,,bp_mentionee,3c764193bc2e29c10e35374391d74c16,bp_mentionee__3c764193bc2e29c10e35374391d74c16
office of the chief economist,Office of the Chief Economist,,United States,,,,,,Pipeline,Office of the Chief Economist,,bp_mentionee,5f766ca9cf3dd922647998496f5233aa,bp_mentionee__5f766ca9cf3dd922647998496f5233aa
office of the science and technology adviser,Office of the Science and Technology Adviser,,United States,,,,,,Exec,Office of the Science and Technology Adviser,,bp_mentionee,d52fb18e802e26608f524d755ed0e2be,bp_mentionee__d52fb18e802e26608f524d755ed0e2be
under secretary for management,Under Secretary for Management,,United States,,,,,,LegislativeCommittee,Under Secretary for Management,,bp_mentionee,26da7ede10d24de0133deedb2d21c822,bp_mentionee__26da7ede10d24de0133deedb2d21c822
bureau of administration,Bureau of Administration,,United States,,,,,,News,Bureau of Administration,,bp_mentionee,25710b921a4670c022930e4fd2a15fc3,bp_mentionee__25710b921a4670c022930e4fd2a15fc3
bureau of budget and planning,Bureau of Budget and Planning,,United States,,,,,,Wells,Bureau of Budget and Planning,,bp_mentionee,5f0ebcaccca29a36a0c7a7fefea18823,bp_mentionee__5f0ebcaccca29a36a0c7a7fefea18823
bureau of the comptroller and global financial services,Bureau of the Comptroller and Global Financial Services,,United States,,,,,,Exec,Bureau of the Comptroller and Global Financial Services,,bp_mentionee,042b5ea291320bb2b9e40c927d3f7b69,bp_mentionee__042b5ea291320bb2b9e40c927d3f7b69
bureau of consular affairs,Bureau of Consular Affairs,,United States,,,,,,Wells,Bureau of Consular Affairs,,bp_mentionee,0a6f46d4b015a98e89d5ca8ad7d12fc3,bp_mentionee__0a6f46d4b015a98e89d5ca8ad7d12fc3
bureau of diplomatic security,Bureau of Diplomatic Security,,United States,,,,,,AAEntity,Bureau of Diplomatic Security,,bp_mentionee,cff19ded56eecd4124e08be71e825626,bp_mentionee__cff19ded56eecd4124e08be71e825626
bureau of global talent management,Bureau of Global Talent Management,,United States,,,,,,Keyphrase,Bureau of Global Talent Management,,bp_mentionee,63a90a263ea746d6d51d2c931f0d0c40,bp_mentionee__63a90a263ea746d6d51d2c931f0d0c40
bureau of information resource management,Bureau of Information Resource Management,,United States,,,,,,Keyphrase,Bureau of Information Resource Management,,bp_mentionee,ccbc92ed91182db0d62a4616fed24fbf,bp_mentionee__ccbc92ed91182db0d62a4616fed24fbf
bureau of medical services,Bureau of Medical Services,,United States,,,,,,News,Bureau of Medical Services,,bp_mentionee,80cea3c72fcc36bd07818a453a99057d,bp_mentionee__80cea3c72fcc36bd07818a453a99057d
bureau of overseas buildings operations,Bureau of Overseas Buildings Operations,,United States,,,,,,ForeignMinister,Bureau of Overseas Buildings Operations,,bp_mentionee,8ff2c41f3e9b197229352253cb1681fa,bp_mentionee__8ff2c41f3e9b197229352253cb1681fa
director of diplomatic reception rooms,Director of Diplomatic Reception Rooms,,United States,,,,,,space,Director of Diplomatic Reception Rooms,,bp_mentionee,fc6afeb4b2b340f3579ad3a96fd75185,bp_mentionee__fc6afeb4b2b340f3579ad3a96fd75185
foreign service institute,Foreign Service Institute,,United States,,,,,,space,Foreign Service Institute,,bp_mentionee,b00663d6d1b612e64e844703a3cec87d,bp_mentionee__b00663d6d1b612e64e844703a3cec87d
office of foreign missions,Office of Foreign Missions,,United States,,,,,,Media,Office of Foreign Missions,,bp_mentionee,5cbb73b7f07b557177a740107e6926f4,bp_mentionee__5cbb73b7f07b557177a740107e6926f4
office of management strategy and solutions,Office of Management Strategy and Solutions,,United States,,,,,,Keyphrase,Office of Management Strategy and Solutions,,bp_mentionee,ce39b4b773e33b9dbcd8a1fbefcdf6c0,bp_mentionee__ce39b4b773e33b9dbcd8a1fbefcdf6c0
under secretary for political affairs,Under Secretary for Political Affairs,,United States,,,,,,Diplomat,Under Secretary for Political Affairs,,bp_mentionee,3e741fe6621bc0d7dd4b297ee1f62714,bp_mentionee__3e741fe6621bc0d7dd4b297ee1f62714
bureau of african affairs,Bureau of African Affairs,,United States,,,,,,Consulates,Bureau of African Affairs,,bp_mentionee,2aa1a3335a736e84e1bf3ab22075a4c8,bp_mentionee__2aa1a3335a736e84e1bf3ab22075a4c8
bureau of east asian and pacific affairs,Bureau of East Asian and Pacific Affairs,,United States,,,,,,ForeignMinistry,Bureau of East Asian and Pacific Affairs,,bp_mentionee,8ec9acb3a1f85514333012df32e64c67,bp_mentionee__8ec9acb3a1f85514333012df32e64c67
bureau of european and eurasian affairs,Bureau of European and Eurasian Affairs,,United States,,,,,,Exec,Bureau of European and Eurasian Affairs,,bp_mentionee,f31bc954eabffab83c37825d0fea2f75,bp_mentionee__f31bc954eabffab83c37825d0fea2f75
bureau of international organization affairs,Bureau of International Organization Affairs,,United States,,,,,,ForeignMinistry,Bureau of International Organization Affairs,,bp_mentionee,f156cbaa072666dabbb4eaeaffcf417c,bp_mentionee__f156cbaa072666dabbb4eaeaffcf417c
bureau of near eastern affairs,Bureau of Near Eastern Affairs,,United States,,,,,,DiplomaticFacilities,Bureau of Near Eastern Affairs,,bp_mentionee,df2307fbd6b7fbfa815dd5eb27d7fe13,bp_mentionee__df2307fbd6b7fbfa815dd5eb27d7fe13
bureau of south and central asian affairs,Bureau of South and Central Asian Affairs,,United States,,,,,,ForeignMinistry,Bureau of South and Central Asian Affairs,,bp_mentionee,b7d72372d6348d38cefc09b6e578f3b8,bp_mentionee__b7d72372d6348d38cefc09b6e578f3b8
bureau of western hemisphere affairs,Bureau of Western Hemisphere Affairs,,United States,,,,,,ForeignMinistry,Bureau of Western Hemisphere Affairs,,bp_mentionee,635a3958e5e59efc3b24e1ca4c8c9307,bp_mentionee__635a3958e5e59efc3b24e1ca4c8c9307
under secretary for public diplomacy and public affairs,Under Secretary for Public Diplomacy and Public Affairs,,United States,,,,,,space,Under Secretary for Public Diplomacy and Public Affairs,,bp_mentionee,50d91cab5d72a1d7ebbd42163a536948,bp_mentionee__50d91cab5d72a1d7ebbd42163a536948
educational and cultural affairs,Educational and Cultural Affairs,,United States,,,,,,Legislator,Educational and Cultural Affairs,,bp_mentionee,3c07b7781d98018baf7431615c472884,bp_mentionee__3c07b7781d98018baf7431615c472884
expo unit,Expo Unit,,United States,,,,,,Wells,Expo Unit,,bp_mentionee,aa328f1de253f231a582a40580a39c5e,bp_mentionee__aa328f1de253f231a582a40580a39c5e
global engagement center,Global Engagement Center,,United States,,,,,,Shipping,Global Engagement Center,,bp_mentionee,6496aaba78ae034dc8e674700f958e4e,bp_mentionee__6496aaba78ae034dc8e674700f958e4e
global public affairs,Global Public Affairs,,United States,,,,,,AAEntity,Global Public Affairs,,bp_mentionee,0c381147fa8fef52eb77469eff2fb4db,bp_mentionee__0c381147fa8fef52eb77469eff2fb4db
"policy, planning, and resources","Policy, Planning, and Resources",,United States,,,,,,IndustryTerm,"Policy, Planning, and Resources",,bp_mentionee,1236d3240f5206d753268868ecea9c43,bp_mentionee__1236d3240f5206d753268868ecea9c43
u.s. advisory commission on public diplomacy,U.S. Advisory Commission on Public Diplomacy,,United States,,,,,,Person,U.S. Advisory Commission on Public Diplomacy,,bp_mentionee,e9cd475feeee4b461744a20cd6eff166,bp_mentionee__e9cd475feeee4b461744a20cd6eff166
us secretary of state blinken,US Secretary of State Blinken,foreign minister,,,,,,,ForeignMinister,US Secretary of State Blinken,,bp_mentionee,2db6047aebcfb72be1ec81ea15bfc177,bp_mentionee__2db6047aebcfb72be1ec81ea15bfc177
puerto rican secretary of state seilhamer rodriguez,Puerto Rican Secretary of State Seilhamer Rodriguez,foreign minister,,,,,,,News,Puerto Rican Secretary of State Seilhamer Rodriguez,,bp_mentionee,da632a24b2c92372ad34cf1dd6af47c2,bp_mentionee__da632a24b2c92372ad34cf1dd6af47c2
armenian foreign minister,Armenian Foreign Minister Aivazian,foreign minister,,,,,,,Organization,Armenian Foreign Minister Aivazian,,bp_mentionee,dc82ff85543f1c67112db28c76591f5a,bp_mentionee__dc82ff85543f1c67112db28c76591f5a
bolivian foreign minister,Bolivian Foreign Minister Mayta,foreign minister,,,,,,,LegislativeCommittee,Bolivian Foreign Minister Mayta,,bp_mentionee,b732890759218044c8f20a974d514980,bp_mentionee__b732890759218044c8f20a974d514980
ecuadorian foreign minister,Ecuadorian Foreign Minister Gallegos Chiriboga,foreign minister,,,,,,,space,Ecuadorian Foreign Minister Gallegos Chiriboga,,bp_mentionee,59dfc9b0eeee944b65439978a19e7298,bp_mentionee__59dfc9b0eeee944b65439978a19e7298
azerbaijan foreign minister,Azerbaijan Foreign Minister Bayramov,foreign minister,,,,,,,Refinery,Azerbaijan Foreign Minister Bayramov,,bp_mentionee,d02cb40952d35d8efb4bae6cb8e3c3df,bp_mentionee__d02cb40952d35d8efb4bae6cb8e3c3df
marshall islands foreign minister,Marshall Islands Foreign Minister Nemra,foreign minister,,,,,,,Consulates,Marshall Islands Foreign Minister Nemra,,bp_mentionee,29f756f11a8c10f4d0fe13734e81973e,bp_mentionee__29f756f11a8c10f4d0fe13734e81973e
paraguayan foreign minister,Paraguayan Foreign Minister Gonzalez,foreign minister,,,,,,,Diplomat,Paraguayan Foreign Minister Gonzalez,,bp_mentionee,208da3a081904df09a1ed83ee660c9b6,bp_mentionee__208da3a081904df09a1ed83ee660c9b6
madagascar foreign minister,Madagascar Foreign Minister Tehindrazanarivelo,foreign minister,,,,,,,Consulates,Madagascar Foreign Minister Tehindrazanarivelo,,bp_mentionee,6fb4ab7529b178ae3b78b4b399d4056b,bp_mentionee__6fb4ab7529b178ae3b78b4b399d4056b
algerian foreign minister,Algerian Foreign Minister Boukadoum,foreign minister,,,,,,,IndustryTerm,Algerian Foreign Minister Boukadoum,,bp_mentionee,caecc183fd5af421e328770054fba45f,bp_mentionee__caecc183fd5af421e328770054fba45f
polish foreign minister,Polish Foreign Minister Rau,foreign minister,,,,,,,Media,Polish Foreign Minister Rau,,bp_mentionee,01b904b437a262e19d8aa4f41f0cb5b4,bp_mentionee__01b904b437a262e19d8aa4f41f0cb5b4
croatian foreign minister,Croatian Foreign Minister  Radman,foreign minister,,,,,,,Media,Croatian Foreign Minister  Radman,,bp_mentionee,f16821a88de57702c9fadc5d6c59a6f3,bp_mentionee__f16821a88de57702c9fadc5d6c59a6f3
iranian foreign minister,Iranian Foreign Minister Zarif,foreign minister,,,,,,,Person,Iranian Foreign Minister Zarif,,bp_mentionee,3b14c9bd0c6001b31105f18e8ef5491e,bp_mentionee__3b14c9bd0c6001b31105f18e8ef5491e
israeli foreign minister,Israeli Foreign Minister Ashkenazi,foreign minister,,,,,,,Media,Israeli Foreign Minister Ashkenazi,,bp_mentionee,de53b6e52e521e581d8968f70496a990,bp_mentionee__de53b6e52e521e581d8968f70496a990
el salvador foreign minister,El Salvador Foreign Minister Tinoco,foreign minister,,,,,,,FTO,El Salvador Foreign Minister Tinoco,,bp_mentionee,561a3e956fba69574d0d36e0b005d01f,bp_mentionee__561a3e956fba69574d0d36e0b005d01f
bangladeshi foreign minister,Bangladeshi Foreign Minister Momen,foreign minister,,,,,,,FTO,Bangladeshi Foreign Minister Momen,,bp_mentionee,c98f5010b1501dd35bca5bbb11494822,bp_mentionee__c98f5010b1501dd35bca5bbb11494822
cuban foreign minister,Cuban Foreign Minister Rodriguez,foreign minister,,,,,,,Exec,Cuban Foreign Minister Rodriguez,,bp_mentionee,04804f4ba5a62455b6133216ece1ccb8,bp_mentionee__04804f4ba5a62455b6133216ece1ccb8
bhutanese foreign minister,Bhutanese Foreign Minister Dorji,foreign minister,,,,,,,Pipeline,Bhutanese Foreign Minister Dorji,,bp_mentionee,e2f08e918a3c5e05245ca8e19bc9c64d,bp_mentionee__e2f08e918a3c5e05245ca8e19bc9c64d
brazilian foreign minister,Brazilian Foreign Minister Araujo,foreign minister,,,,,,,Person,Brazilian Foreign Minister Araujo,,bp_mentionee,71c701f1ba780fb8017bee4414f4bd78,bp_mentionee__71c701f1ba780fb8017bee4414f4bd78
iraqi foreign minister,Iraqi Foreign Minister Hussein,foreign minister,,,,,,,DiplomaticFacilities,Iraqi Foreign Minister Hussein,,bp_mentionee,85a795c08bcc5a637c2fb1105df4e068,bp_mentionee__85a795c08bcc5a637c2fb1105df4e068
antiguan foreign minister,Antiguan Foreign Minister Greene,foreign minister,,,,,,,FTO,Antiguan Foreign Minister Greene,,bp_mentionee,b5505dd44aa6066f1b89868751b6d618,bp_mentionee__b5505dd44aa6066f1b89868751b6d618
nicaraguan foreign minister,Nicaraguan Foreign Minister Moncada Colindres,foreign minister,,,,,,,space,Nicaraguan Foreign Minister Moncada Colindres,,bp_mentionee,ef44e7bc5480821bb7247b3b9715bf22,bp_mentionee__ef44e7bc5480821bb7247b3b9715bf22
sierra leonean foreign minister,Sierra Leonean Foreign Minister Tunis,foreign minister,,,,,,,Refinery,Sierra Leonean Foreign Minister Tunis,,bp_mentionee,0e8860e4897e0ce987d9a2317dbb4934,bp_mentionee__0e8860e4897e0ce987d9a2317dbb4934
equatorial guinean foreign minister,Equatorial Guinean Foreign Minister Oyono Esono Angue,foreign minister,,,,,,,CompanyKeyword,Equatorial Guinean Foreign Minister Oyono Esono Angue,,bp_mentionee,3884eff78958244a31d033297154f02d,bp_mentionee__3884eff78958244a31d033297154f02d
eu commissioner for external action borrell,EU Commissioner for External Action Borrell,foreign minister,,,,,,,DiplomaticFacilities,EU Commissioner for External Action Borrell,,bp_mentionee,095e2c11881a046b8223d06f4a45ec77,bp_mentionee__095e2c11881a046b8223d06f4a45ec77
georgian foreign minister,Georgian Foreign Minister Zalkaliani,foreign minister,,,,,,,Shipping,Georgian Foreign Minister Zalkaliani,,bp_mentionee,c9c9834730634a5e3c812690a4dd8e26,bp_mentionee__c9c9834730634a5e3c812690a4dd8e26
indonesian foreign minister,Indonesian Foreign Minister Negeri,foreign minister,,,,,,,IndustryTerm,Indonesian Foreign Minister Negeri,,bp_mentionee,cf42f2423bbb5292e6bdbdfce5bcbb8f,bp_mentionee__cf42f2423bbb5292e6bdbdfce5bcbb8f
ugandan foreign minister,Ugandan Foreign Minister Okello,foreign minister,,,,,,,Media,Ugandan Foreign Minister Okello,,bp_mentionee,0869506da8f0cfea42e5d2c99f481991,bp_mentionee__0869506da8f0cfea42e5d2c99f481991
bulgarian foreign minister,Bulgarian Foreign Minister Zaharieva,foreign minister,,,,,,,Exec,Bulgarian Foreign Minister Zaharieva,,bp_mentionee,83ac9d9213e57411cc267a99c30aa333,bp_mentionee__83ac9d9213e57411cc267a99c30aa333
duch foreign minister,Duch Foreign Minister Blok,foreign minister,,,,,,,space,Duch Foreign Minister Blok,,bp_mentionee,ef74c52e4c8312f9c2482303eb13e2c2,bp_mentionee__ef74c52e4c8312f9c2482303eb13e2c2
chadian foreign minister,Chadian Foreign Minister Abba-Sidick,foreign minister,,,,,,,CompanyKeyword,Chadian Foreign Minister Abba-Sidick,,bp_mentionee,d9b51c3738eb3aef4994ace7d23bb79c,bp_mentionee__d9b51c3738eb3aef4994ace7d23bb79c
albanian foreign minister,Albanian Foreign Minister Xhacka,foreign minister,,,,,,,Wells,Albanian Foreign Minister Xhacka,,bp_mentionee,5e6cf0297dff9c3ee1643ef0965cd1a3,bp_mentionee__5e6cf0297dff9c3ee1643ef0965cd1a3
indian foreign minister,Indian Foreign Minister Jaishankar,foreign minister,,,,,,,Media,Indian Foreign Minister Jaishankar,,bp_mentionee,6138f110078451926d946405faaf087c,bp_mentionee__6138f110078451926d946405faaf087c
bahamas foreign minister,Bahamas Foreign Minister Henfield,foreign minister,,,,,,,Legislator,Bahamas Foreign Minister Henfield,,bp_mentionee,1db1cced27fbe1bc5f8c5e7e616cd08a,bp_mentionee__1db1cced27fbe1bc5f8c5e7e616cd08a
ghanaian foreign minister,Ghanaian Foreign Minister Botchway,foreign minister,,,,,,,Refinery,Ghanaian Foreign Minister Botchway,,bp_mentionee,ef7388b237bf83d316d71ee10b47261f,bp_mentionee__ef7388b237bf83d316d71ee10b47261f
myanmar military-appointed foreign minister,Myanmar military-appointed Foreign Minister Wunna Maung Lwin,foreign minister,,,,,,,Diplomat,Myanmar military-appointed Foreign Minister Wunna Maung Lwin,,bp_mentionee,0ee9387e57cded4d1aaef23d78508c16,bp_mentionee__0ee9387e57cded4d1aaef23d78508c16
eritrean foreign minister,Eritrean Foreign Minister Saleh,foreign minister,,,,,,,Consulates,Eritrean Foreign Minister Saleh,,bp_mentionee,4be63ebb5f98eca8f942e1af132cc742,bp_mentionee__4be63ebb5f98eca8f942e1af132cc742
qatari foreign minister,Qatari Foreign Minister al-Thani,foreign minister,,,,,,,Exec,Qatari Foreign Minister al-Thani,,bp_mentionee,889182472ba4b2f6af76371795c847dc,bp_mentionee__889182472ba4b2f6af76371795c847dc
