german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,,u,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
poll-vingster strasse,"Poll-Vingster strasse in Cologne, Germany",50.9240376,7.008026,1,,,,,,Diplomat,"Poll-Vingster strasse in Cologne, Germany",,german_fires_cologne_locations,6994d2fb266cdda2afecdb7ba7663083,german_fires_cologne_locations__6994d2fb266cdda2afecdb7ba7663083
pontinusweg,"Pontinusweg in Cologne, Germany",50.9498434,6.8240293,1,,,,,,Media,"Pontinusweg in Cologne, Germany",,german_fires_cologne_locations,1e7629e9b22e2b8acc78fc197cd683ed,german_fires_cologne_locations__1e7629e9b22e2b8acc78fc197cd683ed
portalsgasse,"Portalsgasse in Cologne, Germany",50.9381965,6.9587518,1,,,,,,Pipeline,"Portalsgasse in Cologne, Germany",,german_fires_cologne_locations,5245cac2e476a7fd85a2c645a9f63c82,german_fires_cologne_locations__5245cac2e476a7fd85a2c645a9f63c82
portastrasse,"Portastrasse in Cologne, Germany",50.8479907,7.094358,1,,,,,,DiplomaticFacilities,"Portastrasse in Cologne, Germany",,german_fires_cologne_locations,ef806c868bd36c5653740efecebb7e81,german_fires_cologne_locations__ef806c868bd36c5653740efecebb7e81
porzer ringstrasse,"Porzer Ringstrasse in Cologne, Germany",50.9097454,7.0183451,1,,,,,,CompanyKeyword,"Porzer Ringstrasse in Cologne, Germany",,german_fires_cologne_locations,8075423cecaf97703485c69dc226c3c5,german_fires_cologne_locations__8075423cecaf97703485c69dc226c3c5
porzer strasse,"Porzer strasse in Cologne, Germany",50.9207618,7.0739709,1,,,,,,ForeignMinister,"Porzer strasse in Cologne, Germany",,german_fires_cologne_locations,50c88e93566214d3ec5e02c88d112eb7,german_fires_cologne_locations__50c88e93566214d3ec5e02c88d112eb7
posadowskystrasse,"Posadowskystrasse in Cologne, Germany",50.9839122,7.026247,1,,,,,,Keyphrase,"Posadowskystrasse in Cologne, Germany",,german_fires_cologne_locations,0a7e4ea18c31eb94e72aab678ee3da81,german_fires_cologne_locations__0a7e4ea18c31eb94e72aab678ee3da81
postprivatstrasse,"Postprivatstrasse in Cologne, Germany",50.9432615,6.9550325,1,,,,,,CompanyKeyword,"Postprivatstrasse in Cologne, Germany",,german_fires_cologne_locations,7d17b409c0887043f0c521cf08d1e1bb,german_fires_cologne_locations__7d17b409c0887043f0c521cf08d1e1bb
poststrasse,"Poststrasse in Cologne, Germany",50.8698943,7.0689679,1,,,,,,Pipeline,"Poststrasse in Cologne, Germany",,german_fires_cologne_locations,3ccf857000843826d9b25118e3fcf2ac,german_fires_cologne_locations__3ccf857000843826d9b25118e3fcf2ac
potsdamer strasse,"Potsdamer strasse in Cologne, Germany",50.9336555,6.8326292,1,,,,,,Legislator,"Potsdamer strasse in Cologne, Germany",,german_fires_cologne_locations,19f98871c6bd97ec5b892c46e73d6d83,german_fires_cologne_locations__19f98871c6bd97ec5b892c46e73d6d83
pralat-otto-muller-platz,"Pralat-Otto-Muller-Platz in Cologne, Germany",50.9545226,6.9547358,1,,,,,,Shipping,"Pralat-Otto-Muller-Platz in Cologne, Germany",,german_fires_cologne_locations,8b8a832ffa88aedbc37b614d1b7f80cd,german_fires_cologne_locations__8b8a832ffa88aedbc37b614d1b7f80cd
pralat-savelsberg-platz,"Pralat-Savelsberg-Platz in Cologne, Germany",50.937531,6.9602786,1,,,,,,Diplomat,"Pralat-Savelsberg-Platz in Cologne, Germany",,german_fires_cologne_locations,0a41e79355d28f0de3d0157616bba1c0,german_fires_cologne_locations__0a41e79355d28f0de3d0157616bba1c0
pralat-van-acken-strasse,"Pralat-van-Acken-strasse in Cologne, Germany",50.9249107,6.8970477,1,,,,,,LegislativeCommittee,"Pralat-van-Acken-strasse in Cologne, Germany",,german_fires_cologne_locations,ceb271e16548dda06bdcb0f9aabf3538,german_fires_cologne_locations__ceb271e16548dda06bdcb0f9aabf3538
pramonstratenserstrasse,"Pramonstratenserstrasse in Cologne, Germany",50.9997018,7.0339655,1,,,,,,AAEntity,"Pramonstratenserstrasse in Cologne, Germany",,german_fires_cologne_locations,409ee6ce04b94048fec19f71e6e07b6b,german_fires_cologne_locations__409ee6ce04b94048fec19f71e6e07b6b
prases-richter-platz,"Prases-Richter-Platz in Cologne, Germany",50.9596457,7.0111817,1,,,,,,Diplomat,"Prases-Richter-Platz in Cologne, Germany",,german_fires_cologne_locations,69a347a35fb6210799d46ba481c18f43,german_fires_cologne_locations__69a347a35fb6210799d46ba481c18f43
preussen-dellbruck-weg,"Preussen-Dellbruck-Weg in Cologne, Germany",50.9758168,7.0601678,1,,,,,,ForeignMinistry,"Preussen-Dellbruck-Weg in Cologne, Germany",,german_fires_cologne_locations,abcdb48c03af1f77cd95d4d0062b0112,german_fires_cologne_locations__abcdb48c03af1f77cd95d4d0062b0112
prignitzstrasse,"Prignitzstrasse in Cologne, Germany",50.9342068,7.0454247,1,,,,,,Media,"Prignitzstrasse in Cologne, Germany",,german_fires_cologne_locations,e5f29b0059204b6ff55b9ceb49a2a1c2,german_fires_cologne_locations__e5f29b0059204b6ff55b9ceb49a2a1c2
prinzen-garde-weg,"Prinzen-Garde-Weg in Cologne, Germany",50.9256881,6.950157,1,,,,,,AAEntity,"Prinzen-Garde-Weg in Cologne, Germany",,german_fires_cologne_locations,2541f070d8b53a720da05cba5206e4a9,german_fires_cologne_locations__2541f070d8b53a720da05cba5206e4a9
probsteigasse,"Probsteigasse in Cologne, Germany",50.9448807,6.9460418,1,,,,,,Legislator,"Probsteigasse in Cologne, Germany",,german_fires_cologne_locations,1af654e0a0236f7e9e0bcd4924a5674d,german_fires_cologne_locations__1af654e0a0236f7e9e0bcd4924a5674d
