keyword,guid,caption_name,topic_guid,topic_name,concatenated,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
alexion,0561c22457ce25c15c5251b4100d79e7,Alexion Pharmaceuticals,214218,Reputation,hashtagContains:Alexion,CompanyKeyword,Alexion Pharmaceuticals,,lte_hashtag_contains_mapping,d704a832f6a812950e2e502282ae05a3,lte_hashtag_contains_mapping__d704a832f6a812950e2e502282ae05a3
ludwighantson,0561c22457ce25c15c5251b4100d79e7,Alexion Pharmaceuticals CEO Ludwig Hantson,214218,Reputation,hashtagContains:LudwigHantson,IndustryTerm,Alexion Pharmaceuticals CEO Ludwig Hantson,,lte_hashtag_contains_mapping,c247e33a370f9608ea1775f042c8c13c,lte_hashtag_contains_mapping__c247e33a370f9608ea1775f042c8c13c
allyfinancial,dd4bc800f9a4c4d6659f7f7818d8c45d,Ally Financial,214218,Reputation,hashtagContains:AllyFinancial,Person,Ally Financial,,lte_hashtag_contains_mapping,fc7809369342e4f094cba19dcc955b79,lte_hashtag_contains_mapping__fc7809369342e4f094cba19dcc955b79
jeffreybrown,dd4bc800f9a4c4d6659f7f7818d8c45d,Ally Financial CEO Jeffrey Brown,214218,Reputation,hashtagContains:JeffreyBrown,Refinery,Ally Financial CEO Jeffrey Brown,,lte_hashtag_contains_mapping,86285f444c703c82cc2921eee573931f,lte_hashtag_contains_mapping__86285f444c703c82cc2921eee573931f
americanelectric,41a6ce85ffd66124357de8ba23e871ba,American Electric Power,214218,Reputation,hashtagContains:AmericanElectric,Media,American Electric Power,,lte_hashtag_contains_mapping,35ea1836d307e9d2646c8afc87d239a2,lte_hashtag_contains_mapping__35ea1836d307e9d2646c8afc87d239a2
nickakins,41a6ce85ffd66124357de8ba23e871ba,American Electric Power CEO Nick Akins,214218,Reputation,hashtagContains:NickAkins,IndustryTerm,American Electric Power CEO Nick Akins,,lte_hashtag_contains_mapping,ab96c09502b87d3b420ccf46be28d956,lte_hashtag_contains_mapping__ab96c09502b87d3b420ccf46be28d956
archerdanielsmidland,b77236a889ac01314f318337ee2f9524,Archer Daniels Midland Company,214218,Reputation,hashtagContains:ArcherDanielsMidland,News,Archer Daniels Midland Company,,lte_hashtag_contains_mapping,d59dd55023c2b3b119d4511d567fd061,lte_hashtag_contains_mapping__d59dd55023c2b3b119d4511d567fd061
adm,b77236a889ac01314f318337ee2f9524,Archer Daniels Midland Company,214218,Reputation,hashtagContains:ADM,Media,Archer Daniels Midland Company,,lte_hashtag_contains_mapping,d59dd55023c2b3b119d4511d567fd061,lte_hashtag_contains_mapping__d59dd55023c2b3b119d4511d567fd061
juanluciano,2e782cdf90647fa9b827009f6d6818e9,BCG - Boston Consulting Group CEO Juan Luciano,214218,Reputation,hashtagContains:JuanLuciano,Legislator,BCG - Boston Consulting Group CEO Juan Luciano,,lte_hashtag_contains_mapping,8a972d81b47c9dbebee99758a3d718b0,lte_hashtag_contains_mapping__8a972d81b47c9dbebee99758a3d718b0
bostonconsultinggroup,2e782cdf90647fa9b827009f6d6818e9,BCG - Boston Consulting Group,214218,Reputation,hashtagContains:BostonConsultingGroup,IndustryTerm,BCG - Boston Consulting Group,,lte_hashtag_contains_mapping,6213a7422ccce7a4be9fffce605f235d,lte_hashtag_contains_mapping__6213a7422ccce7a4be9fffce605f235d
