german_text,caption_text,lat,lon,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#trachausud,"Trachau-Sud in Dresden, Germany",51.0933,13.70929,,,,Exec,"Trachau-Sud in Dresden, Germany",,german_fires_dresden_locations,90081862cb4f1c046193a882dbfd4df8,german_fires_dresden_locations__90081862cb4f1c046193a882dbfd4df8
#ubigau,"ubigau in Dresden, Germany",51.0709447,13.693934,,,,Shipping,"ubigau in Dresden, Germany",,german_fires_dresden_locations,9e336ce45852a51d9f3d682e43940752,german_fires_dresden_locations__9e336ce45852a51d9f3d682e43940752
#heide,"Heide in Dresden, Germany",51.0936111,13.8372222,,,,CompanyKeyword,"Heide in Dresden, Germany",,german_fires_dresden_locations,3eb186df8a8aae1eedba118c63370dd3,german_fires_dresden_locations__3eb186df8a8aae1eedba118c63370dd3
#neuomsewitz,"Neuomsewitz in Dresden, Germany",51.0505159,13.6615188,,,,Consulates,"Neuomsewitz in Dresden, Germany",,german_fires_dresden_locations,0bb88464631a5b51615b5073bb46aa47,german_fires_dresden_locations__0bb88464631a5b51615b5073bb46aa47
#gorbitznord,"Gorbitz-Nord in Dresden, Germany",51.0424959,13.6648734,,,,CompanyKeyword,"Gorbitz-Nord in Dresden, Germany",,german_fires_dresden_locations,2e9c33db71025d7ab5d58fe829421e5b,german_fires_dresden_locations__2e9c33db71025d7ab5d58fe829421e5b
#briesnitz,"Briesnitz in Dresden, Germany",51.0648777,13.6666975,,,,Legislator,"Briesnitz in Dresden, Germany",,german_fires_dresden_locations,de1d2e4aca6ea8fd05973c3793191345,german_fires_dresden_locations__de1d2e4aca6ea8fd05973c3793191345
#klotzsche,"Klotzsche in Dresden, Germany",51.1154638,13.7464998,,,,LegislativeCommittee,"Klotzsche in Dresden, Germany",,german_fires_dresden_locations,a6e520c726fad90fd927ef608df407b6,german_fires_dresden_locations__a6e520c726fad90fd927ef608df407b6
#rahnitz,"Rahnitz in Dresden, Germany",51.1236708,13.742657,,,,Refinery,"Rahnitz in Dresden, Germany",,german_fires_dresden_locations,d2abb94e80d4f00a8ae62d38b96abac1,german_fires_dresden_locations__d2abb94e80d4f00a8ae62d38b96abac1
#wilschdorf,"Wilschdorf in Dresden, Germany",51.1211714,13.7189992,,,,News,"Wilschdorf in Dresden, Germany",,german_fires_dresden_locations,31f1f619c54a2fc10e3226d54d0dc90f,german_fires_dresden_locations__31f1f619c54a2fc10e3226d54d0dc90f
#hellerau,"Hellerau in Dresden, Germany",51.1170825,13.7409808,,,,ForeignMinistry,"Hellerau in Dresden, Germany",,german_fires_dresden_locations,71f8c8228b5d7a3b7e1a31f34e9777e5,german_fires_dresden_locations__71f8c8228b5d7a3b7e1a31f34e9777e5
