rkeyword,rcaption_name,rlocation,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
аэродром североморск-1,Russian Severmorsk-1 air base in Murmansk Oblast,r42,188258,Organization,Russian Severmorsk-1 air base in Murmansk Oblast,,dgm_russianallmentions,9229a6264a147e3bdafd1cd0f169d2cf,dgm_russianallmentions__9229a6264a147e3bdafd1cd0f169d2cf
аэродроме североморск-1,Russian Severmorsk-1 air base in Murmansk Oblast,r42,188258,Person,Russian Severmorsk-1 air base in Murmansk Oblast,,dgm_russianallmentions,9229a6264a147e3bdafd1cd0f169d2cf,dgm_russianallmentions__9229a6264a147e3bdafd1cd0f169d2cf
аэродром североморск-2,Russian Severmorsk-2 air base in Murmansk Oblast,r43,188258,News,Russian Severmorsk-2 air base in Murmansk Oblast,,dgm_russianallmentions,1b4c431c3b8d615f8a47cc01d5ce599c,dgm_russianallmentions__1b4c431c3b8d615f8a47cc01d5ce599c
аэродроме североморск-2,Russian Severmorsk-2 air base in Murmansk Oblast,r43,188258,Refinery,Russian Severmorsk-2 air base in Murmansk Oblast,,dgm_russianallmentions,1b4c431c3b8d615f8a47cc01d5ce599c,dgm_russianallmentions__1b4c431c3b8d615f8a47cc01d5ce599c
аэродром североморск-3,Russian Severmorsk-3 air base in Murmansk Oblast,r44,188258,Organization,Russian Severmorsk-3 air base in Murmansk Oblast,,dgm_russianallmentions,cbdf6545e5a6a858d9ec418333532f6f,dgm_russianallmentions__cbdf6545e5a6a858d9ec418333532f6f
аэродроме североморск-3,Russian Severmorsk-3 air base in Murmansk Oblast,r44,188258,Legislator,Russian Severmorsk-3 air base in Murmansk Oblast,,dgm_russianallmentions,cbdf6545e5a6a858d9ec418333532f6f,dgm_russianallmentions__cbdf6545e5a6a858d9ec418333532f6f
аэродром смирных,Russian Smirnykh air base in Sakhalin Oblast,r45,188258,CompanyKeyword,Russian Smirnykh air base in Sakhalin Oblast,,dgm_russianallmentions,ae87aefcc05d66808425d3a822236afd,dgm_russianallmentions__ae87aefcc05d66808425d3a822236afd
аэродроме смирных,Russian Smirnykh air base in Sakhalin Oblast,r45,188258,CompanyKeyword,Russian Smirnykh air base in Sakhalin Oblast,,dgm_russianallmentions,ae87aefcc05d66808425d3a822236afd,dgm_russianallmentions__ae87aefcc05d66808425d3a822236afd
аэродром ветровое,"Russian Vetrovoye air base on Iturup Island, Kuril Islands",r46,188258,Shipping,"Russian Vetrovoye air base on Iturup Island, Kuril Islands",,dgm_russianallmentions,bd39f393e341b48d793382d747de8ffd,dgm_russianallmentions__bd39f393e341b48d793382d747de8ffd
аэродроме ветровое,"Russian Vetrovoye air base on Iturup Island, Kuril Islands",r46,188258,Legislator,"Russian Vetrovoye air base on Iturup Island, Kuril Islands",,dgm_russianallmentions,bd39f393e341b48d793382d747de8ffd,dgm_russianallmentions__bd39f393e341b48d793382d747de8ffd
аэродром татищево,Russian Tatishchevo air base on Saratov Oblast,r47,188258,space,Russian Tatishchevo air base on Saratov Oblast,,dgm_russianallmentions,892e0165c99dccebc55573b6e65971ef,dgm_russianallmentions__892e0165c99dccebc55573b6e65971ef
аэродроме татищево,Russian Tatishchevo air base on Saratov Oblast,r47,188258,IndustryTerm,Russian Tatishchevo air base on Saratov Oblast,,dgm_russianallmentions,892e0165c99dccebc55573b6e65971ef,dgm_russianallmentions__892e0165c99dccebc55573b6e65971ef
102-я российская военная база,"Russian Russian 201st Military Base in Dushanbe, Tajikistan",r48,188258,Shipping,"Russian Russian 201st Military Base in Dushanbe, Tajikistan",,dgm_russianallmentions,ac7f6e7c6a5b157f5d19fde5a357e35d,dgm_russianallmentions__ac7f6e7c6a5b157f5d19fde5a357e35d
102-й российской военной базе,"Russian Russian 201st Military Base in Dushanbe, Tajikistan",r48,188258,Diplomat,"Russian Russian 201st Military Base in Dushanbe, Tajikistan",,dgm_russianallmentions,ac7f6e7c6a5b157f5d19fde5a357e35d,dgm_russianallmentions__ac7f6e7c6a5b157f5d19fde5a357e35d
пойгоҳи низомии 201-и русия,"Russian Russian 201st Military Base in Dushanbe, Tajikistan",r48,188258,CompanyKeyword,"Russian Russian 201st Military Base in Dushanbe, Tajikistan",,dgm_russianallmentions,ac7f6e7c6a5b157f5d19fde5a357e35d,dgm_russianallmentions__ac7f6e7c6a5b157f5d19fde5a357e35d
военный комплекс нагурское,Russian Nagurskoye military complex in Alexandra Land,r49,188258,Diplomat,Russian Nagurskoye military complex in Alexandra Land,,dgm_russianallmentions,14527ceff25d4ef9c8b86df4fd27b1b7,dgm_russianallmentions__14527ceff25d4ef9c8b86df4fd27b1b7
военном комплексе нагурское,Russian Nagurskoye military complex in Alexandra Land,r49,188258,ForeignMinister,Russian Nagurskoye military complex in Alexandra Land,,dgm_russianallmentions,14527ceff25d4ef9c8b86df4fd27b1b7,dgm_russianallmentions__14527ceff25d4ef9c8b86df4fd27b1b7
аэродром армавир,Russian Armavir air base in Krasnodar Krai,r50,188258,ForeignMinister,Russian Armavir air base in Krasnodar Krai,,dgm_russianallmentions,85f38e4fef4700c2d46c7fcfde406ccb,dgm_russianallmentions__85f38e4fef4700c2d46c7fcfde406ccb
аэродроме армавир,Russian Armavir air base in Krasnodar Krai,r50,188258,Diplomat,Russian Armavir air base in Krasnodar Krai,,dgm_russianallmentions,85f38e4fef4700c2d46c7fcfde406ccb,dgm_russianallmentions__85f38e4fef4700c2d46c7fcfde406ccb
гаджиево,Russian Gadzhiyevo base in Sayda-Guba,r51,188258,Organization,Russian Gadzhiyevo base in Sayda-Guba,,dgm_russianallmentions,fbb744eea78fc39414c4301c908dd4db,dgm_russianallmentions__fbb744eea78fc39414c4301c908dd4db
