handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
clarawanchai,District Councillor Clara Cheung,Refinery,District Councillor Clara Cheung,,dgm_hong_kong_ei_key_authors,2c5f66c97c3ed258e17fdd3152e6a25f,dgm_hong_kong_ei_key_authors__2c5f66c97c3ed258e17fdd3152e6a25f
kaholee_cp,Former district councillor Ka Ho-lee,Shipping,Former district councillor Ka Ho-lee,,dgm_hong_kong_ei_key_authors,a084366e3f7a78d24a26d06a05f6dc76,dgm_hong_kong_ei_key_authors__a084366e3f7a78d24a26d06a05f6dc76
kwoktinlap,Former district councillor Tony Kwok,ForeignMinister,Former district councillor Tony Kwok,,dgm_hong_kong_ei_key_authors,09e052cff82df3d9f78573b323a70410,dgm_hong_kong_ei_key_authors__09e052cff82df3d9f78573b323a70410
lslbecky,District Councillor Becky Li,LegislativeCommittee,District Councillor Becky Li,,dgm_hong_kong_ei_key_authors,3a20a54aa6a23f094383951cc3a89097,dgm_hong_kong_ei_key_authors__3a20a54aa6a23f094383951cc3a89097
oktinau,Former legislative council member Au Nok-hin,Refinery,Former legislative council member Au Nok-hin,,dgm_hong_kong_ei_key_authors,deae53e8d5be40d104ef26acf4f7b4b6,dgm_hong_kong_ei_key_authors__deae53e8d5be40d104ef26acf4f7b4b6
chengchungtai,Former legislative council member Cheng Chung-tai,ForeignMinistry,Former legislative council member Cheng Chung-tai,,dgm_hong_kong_ei_key_authors,dac9d07ce7a49c273f8def4a99d5d79b,dgm_hong_kong_ei_key_authors__dac9d07ce7a49c273f8def4a99d5d79b
kahosaiwan,District Councillor Jordan Pang,Media,District Councillor Jordan Pang,,dgm_hong_kong_ei_key_authors,792c430d668ec87612690dec18a16644,dgm_hong_kong_ei_key_authors__792c430d668ec87612690dec18a16644
lauchikitchris,Former district councillor Chris Lau,Media,Former district councillor Chris Lau,,dgm_hong_kong_ei_key_authors,e97e6f8a1b973cbb91ca644a69cb0859,dgm_hong_kong_ei_key_authors__e97e6f8a1b973cbb91ca644a69cb0859
owanliowanli,Former district councillor Owan Li,DiplomaticFacilities,Former district councillor Owan Li,,dgm_hong_kong_ei_key_authors,895ad23428989aaf40122a48e93a5f9c,dgm_hong_kong_ei_key_authors__895ad23428989aaf40122a48e93a5f9c
jimmyshamtszkit,Former Civil Human Rights Front convenor Jimmy Sham,Media,Former Civil Human Rights Front convenor Jimmy Sham,,dgm_hong_kong_ei_key_authors,f5d1ccfb802fe25d12a2a050d83059de,dgm_hong_kong_ei_key_authors__f5d1ccfb802fe25d12a2a050d83059de
jannellerleung,Pro-democracy activist Janelle Leung,ForeignMinistry,Pro-democracy activist Janelle Leung,,dgm_hong_kong_ei_key_authors,919a62eb621c94033d4d6023ba4e0a7d,dgm_hong_kong_ei_key_authors__919a62eb621c94033d4d6023ba4e0a7d
emilylauwh,Former legislative council member Emily Lau,IndustryTerm,Former legislative council member Emily Lau,,dgm_hong_kong_ei_key_authors,2abf27aab558ca4c5c7d7e895e8ab8b5,dgm_hong_kong_ei_key_authors__2abf27aab558ca4c5c7d7e895e8ab8b5
edithleung2,Former district councillor Edith Leung,Keyphrase,Former district councillor Edith Leung,,dgm_hong_kong_ei_key_authors,823a6b34d85821a4c8ca3038916e125d,dgm_hong_kong_ei_key_authors__823a6b34d85821a4c8ca3038916e125d
yauwaiching,Former legislative council member Yau Wai-ching,Wells,Former legislative council member Yau Wai-ching,,dgm_hong_kong_ei_key_authors,411f4c270495ef88e6ffcb4423ca4a9c,dgm_hong_kong_ei_key_authors__411f4c270495ef88e6ffcb4423ca4a9c
drkwanec,Former district councillor Kwan Ka-lun,Person,Former district councillor Kwan Ka-lun,,dgm_hong_kong_ei_key_authors,7441bfba7b711f8b34c03165b09ecdbe,dgm_hong_kong_ei_key_authors__7441bfba7b711f8b34c03165b09ecdbe
alankahkitleong,Civic Party chairperson Alan Leung,CompanyKeyword,Civic Party chairperson Alan Leung,,dgm_hong_kong_ei_key_authors,e7fd8b5e3d9a68fc944ace1753118ef7,dgm_hong_kong_ei_key_authors__e7fd8b5e3d9a68fc944ace1753118ef7
chowsiulung,Hong Kong activist Herbert Chow,Person,Hong Kong activist Herbert Chow,,dgm_hong_kong_ei_key_authors,464eaf268f52d860746cff8a36eadbb1,dgm_hong_kong_ei_key_authors__464eaf268f52d860746cff8a36eadbb1
manyuen_ng,League of Social Democrats chairperson Avery Ng,Pipeline,League of Social Democrats chairperson Avery Ng,,dgm_hong_kong_ei_key_authors,f440e61f1d596b1928aee2e0f135530a,dgm_hong_kong_ei_key_authors__f440e61f1d596b1928aee2e0f135530a
michaelmohk,Former district councillor Michael Mo,ForeignMinistry,Former district councillor Michael Mo,,dgm_hong_kong_ei_key_authors,21ec6785bfab97a120b6288f691e1289,dgm_hong_kong_ei_key_authors__21ec6785bfab97a120b6288f691e1289
lokinhei,Democratic Party chairperson Lo Kin-hei,Exec,Democratic Party chairperson Lo Kin-hei,,dgm_hong_kong_ei_key_authors,3b65a5fe67f4712939e3d7bf68498124,dgm_hong_kong_ei_key_authors__3b65a5fe67f4712939e3d7bf68498124
charlesmok,Former legislative council member Charles Mok,AAEntity,Former legislative council member Charles Mok,,dgm_hong_kong_ei_key_authors,b6ba261b724b69b6907cd48d91ebec47,dgm_hong_kong_ei_key_authors__b6ba261b724b69b6907cd48d91ebec47
lestershum,Former district councillor Lester Shum,LegislativeCommittee,Former district councillor Lester Shum,,dgm_hong_kong_ei_key_authors,79dc254640f73ed24455576829a2368a,dgm_hong_kong_ei_key_authors__79dc254640f73ed24455576829a2368a
nigelkwlee,Former district councillor Lee Ka-wai,DiplomaticFacilities,Former district councillor Lee Ka-wai,,dgm_hong_kong_ei_key_authors,0d89165bf431aac55c7c7bf09d471b72,dgm_hong_kong_ei_key_authors__0d89165bf431aac55c7c7bf09d471b72
samcheunghosum,Former district councillor Sam Cheung,Organization,Former district councillor Sam Cheung,,dgm_hong_kong_ei_key_authors,9e0cef715fa92880b613bc223b94b312,dgm_hong_kong_ei_key_authors__9e0cef715fa92880b613bc223b94b312
ray_wonghki,Pro-democracy activist Ray Wong,Person,Pro-democracy activist Ray Wong,,dgm_hong_kong_ei_key_authors,fe06e0c52f3d18ec110a48230cba3e98,dgm_hong_kong_ei_key_authors__fe06e0c52f3d18ec110a48230cba3e98
hongfenghuang,China Daily editor Wang Hao,Refinery,China Daily editor Wang Hao,,dgm_hong_kong_ei_key_authors,d7497c24ba0f7ca1509b98dc16f86f46,dgm_hong_kong_ei_key_authors__d7497c24ba0f7ca1509b98dc16f86f46
kongtsunggan,Pro-democracy activist Kong Tsung-gan,LegislativeCommittee,Pro-democracy activist Kong Tsung-gan,,dgm_hong_kong_ei_key_authors,5c4791dfea1dd1ff083884316aeecb05,dgm_hong_kong_ei_key_authors__5c4791dfea1dd1ff083884316aeecb05
richscotford,Pro-democracy activist Rich Scotford,Consulates,Pro-democracy activist Rich Scotford,,dgm_hong_kong_ei_key_authors,d4a869fa8fb1e9979d910bb14224293d,dgm_hong_kong_ei_key_authors__d4a869fa8fb1e9979d910bb14224293d
elmeryuen,Pro-democracy activist Elmer Yuen,LegislativeCommittee,Pro-democracy activist Elmer Yuen,,dgm_hong_kong_ei_key_authors,f05666ef22ff1132b0c9baaf62569d2a,dgm_hong_kong_ei_key_authors__f05666ef22ff1132b0c9baaf62569d2a
uryuhirano,Pro-democracy activist Uryu Hirano,space,Pro-democracy activist Uryu Hirano,,dgm_hong_kong_ei_key_authors,388449bb42a28036d6cf3da09bebb62d,dgm_hong_kong_ei_key_authors__388449bb42a28036d6cf3da09bebb62d
kwailamho,Pro-democracy activist Gwyneth Ho,DiplomaticFacilities,Pro-democracy activist Gwyneth Ho,,dgm_hong_kong_ei_key_authors,91e2cf7fa1c17ecafcb8385ff33ecc54,dgm_hong_kong_ei_key_authors__91e2cf7fa1c17ecafcb8385ff33ecc54
yttai,Occupy Central founder Benny Tai,Person,Occupy Central founder Benny Tai,,dgm_hong_kong_ei_key_authors,23fb2e244ed2f036acd091058f7674b0,dgm_hong_kong_ei_key_authors__23fb2e244ed2f036acd091058f7674b0
