german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kuchlerstr.,"Kuchlerstr. in Darmstadt, Germany",49.8569745,8.6583787,1,,,,,,,,space,"Kuchlerstr. in Darmstadt, Germany",,german_fires_darmstadt_locations,a53eec44a44692cae6e57211585c0528,german_fires_darmstadt_locations__a53eec44a44692cae6e57211585c0528
kuhnweg,"Kuhnweg in Darmstadt, Germany",49.9021925,8.6548966,1,,,,,,,,Organization,"Kuhnweg in Darmstadt, Germany",,german_fires_darmstadt_locations,b19e6f5fc40d2da379b9de8b54bfce0f,german_fires_darmstadt_locations__b19e6f5fc40d2da379b9de8b54bfce0f
kulpstr.,"Kulpstr. in Darmstadt, Germany",49.8711423,8.6313744,1,,,,,,,,Exec,"Kulpstr. in Darmstadt, Germany",,german_fires_darmstadt_locations,4b7dd5db66a2d70c16bd1f74a9f443d1,german_fires_darmstadt_locations__4b7dd5db66a2d70c16bd1f74a9f443d1
kurt-schumacher-str.,"Kurt-Schumacher-Str. in Darmstadt, Germany",49.8089501,8.6436751,1,,,,,,,,IndustryTerm,"Kurt-Schumacher-Str. in Darmstadt, Germany",,german_fires_darmstadt_locations,a0a9b633f208ba3c928d68fb6054055a,german_fires_darmstadt_locations__a0a9b633f208ba3c928d68fb6054055a
kurzer weg,"Kurzer Weg in Darmstadt, Germany",49.8565132,8.6452139,1,,,,,,,,Pipeline,"Kurzer Weg in Darmstadt, Germany",,german_fires_darmstadt_locations,0efdc9af5bf3fdd7b28ab30b240ee0b5,german_fires_darmstadt_locations__0efdc9af5bf3fdd7b28ab30b240ee0b5
lagerstr.,"Lagerstr. in Darmstadt, Germany",49.8194141,8.6407307,1,,,,,,,,Legislator,"Lagerstr. in Darmstadt, Germany",,german_fires_darmstadt_locations,a76000bf9456867e585cce424a4ac3bd,german_fires_darmstadt_locations__a76000bf9456867e585cce424a4ac3bd
landgraf-georg-str.,"Landgraf-Georg-Str. in Darmstadt, Germany",49.8731536,8.6651259,1,,,,,,,,News,"Landgraf-Georg-Str. in Darmstadt, Germany",,german_fires_darmstadt_locations,4aaef7c2039c9cf5ecd698582c8f8a13,german_fires_darmstadt_locations__4aaef7c2039c9cf5ecd698582c8f8a13
landgraf-philipps-anlage,"Landgraf-Philipps-Anlage in Darmstadt, Germany",49.8697302,8.6429923,1,,,,,,,,Exec,"Landgraf-Philipps-Anlage in Darmstadt, Germany",,german_fires_darmstadt_locations,b3e27c5944563c3df95478d785260020,german_fires_darmstadt_locations__b3e27c5944563c3df95478d785260020
landskronstr.,"Landskronstr. in Darmstadt, Germany",49.8534167,8.6518794,1,,,,,,,,Legislator,"Landskronstr. in Darmstadt, Germany",,german_fires_darmstadt_locations,51f479328e1f05deb1a297c63e4c271a,german_fires_darmstadt_locations__51f479328e1f05deb1a297c63e4c271a
landwehrstr.,"Landwehrstr. in Darmstadt, Germany",49.8784886,8.6412442,1,,,,,,,,Consulates,"Landwehrstr. in Darmstadt, Germany",,german_fires_darmstadt_locations,6bca63ed4505908301ed18f9a6c53b38,german_fires_darmstadt_locations__6bca63ed4505908301ed18f9a6c53b38
