handle,caption_name,location_lower,exclude_groups,include_groups,entity_type,location,lat,long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
minagricultura,Colombian agriculture ministry,colombia,colombia;country;stateprovince,,agriculture ministry,Colombia,4.570868,-74.297333,AgricultureMinistry,Colombian agriculture ministry,,noneng_dgm_agr_mentioner_government,781d44a99e7048b1c6bb1e4b1aab7294,noneng_dgm_agr_mentioner_government__781d44a99e7048b1c6bb1e4b1aab7294
minagcuba,Cuban agriculture ministry,cuba,cuba;country;stateprovince,,agriculture ministry,Cuba,21.521757,-77.781167,AgricultureMinistry,Cuban agriculture ministry,,noneng_dgm_agr_mentioner_government,9e3a938a522b16b18249b000a7fa92f4,noneng_dgm_agr_mentioner_government__9e3a938a522b16b18249b000a7fa92f4
mzecr,Czech agriculture ministry,czech republic,czech republic;country;stateprovince,,agriculture ministry,Czech Republic,49.817492,15.472962,AgricultureMinistry,Czech agriculture ministry,,noneng_dgm_agr_mentioner_government,276a2b00d211a1a8f3077ba8cc91b9d5,noneng_dgm_agr_mentioner_government__276a2b00d211a1a8f3077ba8cc91b9d5
minagri_rdc,Democratic Republic of the Congo agriculture ministry,democratic republic of the congo,drc;country;stateprovince,,agriculture ministry,Democratic Republic of the Congo,-4.038333,21.758664,AgricultureMinistry,Democratic Republic of the Congo agriculture ministry,,noneng_dgm_agr_mentioner_government,a8d87093b910aa9a4968f5cf1fd11990,noneng_dgm_agr_mentioner_government__a8d87093b910aa9a4968f5cf1fd11990
agriculturard,Dominican Republic agriculture ministry,dominican republic,dominican republic;country;stateprovince,,agriculture ministry,Dominican Republic,18.735693,-70.162651,AgricultureMinistry,Dominican Republic agriculture ministry,,noneng_dgm_agr_mentioner_government,8b7fc0b236a0c8f85facbb53de1fb190,noneng_dgm_agr_mentioner_government__8b7fc0b236a0c8f85facbb53de1fb190
agriculturaec,Ecuadorian agriculture ministry,ecuador,ecuador;country;stateprovince,,agriculture ministry,Ecuador,-1.831239,-78.183406,AgricultureMinistry,Ecuadorian agriculture ministry,,noneng_dgm_agr_mentioner_government,e66e273702aa910c9805c86b0b029d85,noneng_dgm_agr_mentioner_government__e66e273702aa910c9805c86b0b029d85
agricultureagr,Egyptian agriculture ministry,egypt,egypt;country;stateprovince,,agriculture ministry,Egypt,26.820553,30.802498,AgricultureMinistry,Egyptian agriculture ministry,,noneng_dgm_agr_mentioner_government,3031c295365af36f8f0a69e46a270c5b,noneng_dgm_agr_mentioner_government__3031c295365af36f8f0a69e46a270c5b
agriculturasv,Salvadorian agriculture ministry,el salvador,el salvador;country;stateprovince,,agriculture ministry,El Salvador,13.794185,-88.89653,AgricultureMinistry,Salvadorian agriculture ministry,,noneng_dgm_agr_mentioner_government,3d0e66454492b6e305bc273fb6e54583,noneng_dgm_agr_mentioner_government__3d0e66454492b6e305bc273fb6e54583
moa_ethiopia,Ethiopian agriculture ministry,ethiopia,ethiopia;country;stateprovince,,agriculture ministry,Ethiopia,9.145,40.489673,AgricultureMinistry,Ethiopian agriculture ministry,,noneng_dgm_agr_mentioner_government,eba7e55c735b300b05e19b75e32eaca9,noneng_dgm_agr_mentioner_government__eba7e55c735b300b05e19b75e32eaca9
mmm_fi,Finish agriculture ministry,finland,finland;country;stateprovince,,agriculture ministry,Finland,61.92411,25.7481511,AgricultureMinistry,Finish agriculture ministry,,noneng_dgm_agr_mentioner_government,eda241a6b373c5531f6de5791d0307b9,noneng_dgm_agr_mentioner_government__eda241a6b373c5531f6de5791d0307b9
