handle,caption_name,location_lower,location,type,exclude_group,A-list?,VC Press?,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ft,Financial Times,"london, uk","London, UK",Finance Press,,,,FinancePress,Financial Times,,dgm_vc_startup_press_mentioner,fd0b0002f128d5a018fceb42b4cc9bb5,dgm_vc_startup_press_mentioner__fd0b0002f128d5a018fceb42b4cc9bb5
barronsonline,Barron's,new york,New York,Finance Press,,,,FinancePress,Barron's,,dgm_vc_startup_press_mentioner,e15422444d821a8ebe9e2b5226059c80,dgm_vc_startup_press_mentioner__e15422444d821a8ebe9e2b5226059c80
thestreet,TheStreet,new york,New York,Finance Press,,,,FinancePress,TheStreet,,dgm_vc_startup_press_mentioner,68fc7314aa305882ebfa474949ba869a,dgm_vc_startup_press_mentioner__68fc7314aa305882ebfa474949ba869a
ibdinvestors,Investor's Business Daily,new york,New York,Finance Press,,,,FinancePress,Investor's Business Daily,,dgm_vc_startup_press_mentioner,830884f2cc594884dde1ba855a003244,dgm_vc_startup_press_mentioner__830884f2cc594884dde1ba855a003244
bw,Businessweek,new york,New York,Finance Press,,,,FinancePress,Businessweek,,dgm_vc_startup_press_mentioner,61d5cff78b74d4226103457e8c27bda1,dgm_vc_startup_press_mentioner__61d5cff78b74d4226103457e8c27bda1
arabianbusiness,Arabian Business,dubai,Dubai,Finance Press,,,,FinancePress,Arabian Business,,dgm_vc_startup_press_mentioner,6349d2157f97e2ab0692ea0931e48d0a,dgm_vc_startup_press_mentioner__6349d2157f97e2ab0692ea0931e48d0a
themotleyfool,Motley Fool,new york,New York,Finance Press,,,,FinancePress,Motley Fool,,dgm_vc_startup_press_mentioner,c81722cd285df0ac121be23bf259af8b,dgm_vc_startup_press_mentioner__c81722cd285df0ac121be23bf259af8b
cnbc,CNBC,new york,New York,Finance Press,,,,FinancePress,CNBC,,dgm_vc_startup_press_mentioner,aa11677d237b2c2b435fd7decac0d7ad,dgm_vc_startup_press_mentioner__aa11677d237b2c2b435fd7decac0d7ad
alleywatch,AlleyWatch,new york,New York,Tech Press,,,,TechPress,AlleyWatch,,dgm_vc_startup_press_mentioner,477d0292ab67367a49c2aa523a98c88a,dgm_vc_startup_press_mentioner__477d0292ab67367a49c2aa523a98c88a
zdnet,ZDNet,new york,New York,Tech Press,,,,TechPress,ZDNet,,dgm_vc_startup_press_mentioner,977e9df6eb4cb991723354f4b21239fb,dgm_vc_startup_press_mentioner__977e9df6eb4cb991723354f4b21239fb
cnet,CNET,new york,New York,Tech Press,,,,TechPress,CNET,,dgm_vc_startup_press_mentioner,5df9005c535fdaf808b16f73a1013426,dgm_vc_startup_press_mentioner__5df9005c535fdaf808b16f73a1013426
