keyword,caption_name,groups,topic_id,entity_type,guid,Lat,Lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ross aviation,Rectrix Aviation,airline operators,,airline operators,,,,AirlineOperators,Rectrix Aviation,,dgm_tsa_mentioned_entities,a135a416f6ca4b0d824a71246823e86f,dgm_tsa_mentioned_entities__a135a416f6ca4b0d824a71246823e86f
richmoraviation,Richmor Aviation,airline operators,,airline operators,,,,AirlineOperators,Richmor Aviation,,dgm_tsa_mentioned_entities,616744acde9e2980bcf8c4cc44fdef65,dgm_tsa_mentioned_entities__616744acde9e2980bcf8c4cc44fdef65
richmor aviation,Richmor Aviation,airline operators,,airline operators,,,,AirlineOperators,Richmor Aviation,,dgm_tsa_mentioned_entities,58025798cc5f19316f7d6f135dd59e5a,dgm_tsa_mentioned_entities__58025798cc5f19316f7d6f135dd59e5a
republicairways,Republic Airways,airline operators,,airline operators,ec7be6dc9cfd62c057b97c2994d3f3e7,,,AirlineOperators,Republic Airways,,dgm_tsa_mentioned_entities,3f0399a94f05c8dffe9341e5d4f1d613,dgm_tsa_mentioned_entities__3f0399a94f05c8dffe9341e5d4f1d613
republic airways,Republic Airways,airline operators,,airline operators,ec7be6dc9cfd62c057b97c2994d3f3e7,,,AirlineOperators,Republic Airways,,dgm_tsa_mentioned_entities,bec6f44e80af95c5048a06ba2b956f29,dgm_tsa_mentioned_entities__bec6f44e80af95c5048a06ba2b956f29
rectrix aviation,Rectrix Aviation,airline operators,,airline operators,,,,AirlineOperators,Rectrix Aviation,,dgm_tsa_mentioned_entities,7c8f98cd5deaeab86148d4709ba32cbf,dgm_tsa_mentioned_entities__7c8f98cd5deaeab86148d4709ba32cbf
qatar airways,Qatar Airways,airline operators,,airline operators,6c19721ad362ff5788e381a017f1564d,,,AirlineOperators,Qatar Airways,,dgm_tsa_mentioned_entities,fda14df136381ae8218b39e87c1a4764,dgm_tsa_mentioned_entities__fda14df136381ae8218b39e87c1a4764
qantas,Qantas Airways Limited,airline operators,,airline operators,,,,AirlineOperators,Qantas Airways Limited,,dgm_tsa_mentioned_entities,409c943f7348fdba3c29afe3545414ff,dgm_tsa_mentioned_entities__409c943f7348fdba3c29afe3545414ff
pullmantur air,Wamos Air,airline operators,,airline operators,,,,AirlineOperators,Wamos Air,,dgm_tsa_mentioned_entities,7ad0a35e12fcec0e41f4be31a773d32d,dgm_tsa_mentioned_entities__7ad0a35e12fcec0e41f4be31a773d32d
psaairlines,PSA Airlines,airline operators,,airline operators,,,,AirlineOperators,PSA Airlines,,dgm_tsa_mentioned_entities,b4c8c6fab3c3089a32ea9a1feed26084,dgm_tsa_mentioned_entities__b4c8c6fab3c3089a32ea9a1feed26084
psa airlines,PSA Airlines,airline operators,,airline operators,,,,AirlineOperators,PSA Airlines,,dgm_tsa_mentioned_entities,899062ecc63b88ee89665f4dc2c1dd79,dgm_tsa_mentioned_entities__899062ecc63b88ee89665f4dc2c1dd79
privilege style,Privilege Style,airline operators,,airline operators,,,,AirlineOperators,Privilege Style,,dgm_tsa_mentioned_entities,e012dc1897fd7de017a3440f2cc7d500,dgm_tsa_mentioned_entities__e012dc1897fd7de017a3440f2cc7d500
privajet,Privajet,airline operators,,airline operators,,,,AirlineOperators,Privajet,,dgm_tsa_mentioned_entities,3822b87f5472f65f0c9696cd74a839bc,dgm_tsa_mentioned_entities__3822b87f5472f65f0c9696cd74a839bc
priesteraviation,Priester Aviation,airline operators,,airline operators,,,,AirlineOperators,Priester Aviation,,dgm_tsa_mentioned_entities,af2b3d22bf00c7a5e8bf4bbebbffd5db,dgm_tsa_mentioned_entities__af2b3d22bf00c7a5e8bf4bbebbffd5db
priester aviation,Priester Aviation,airline operators,,airline operators,,,,AirlineOperators,Priester Aviation,,dgm_tsa_mentioned_entities,9cc0aea8eb3fefde653f12f883e6527d,dgm_tsa_mentioned_entities__9cc0aea8eb3fefde653f12f883e6527d
prescottsupport,Prescott Support,airline operators,,airline operators,,,,AirlineOperators,Prescott Support,,dgm_tsa_mentioned_entities,85ddb66e8bec59b29657a744ee63b522,dgm_tsa_mentioned_entities__85ddb66e8bec59b29657a744ee63b522
prescott support,Prescott Support,airline operators,,airline operators,,,,AirlineOperators,Prescott Support,,dgm_tsa_mentioned_entities,586db8a3486e9c818f678ddffb06b5cb,dgm_tsa_mentioned_entities__586db8a3486e9c818f678ddffb06b5cb
porter airlines,Porter Airlines,airline operators,,airline operators,,,,AirlineOperators,Porter Airlines,,dgm_tsa_mentioned_entities,36d13ff8164718a14bb0550503b78c3a,dgm_tsa_mentioned_entities__36d13ff8164718a14bb0550503b78c3a
polaraircargo,Polar Air Cargo,airline operators,,airline operators,,,,AirlineOperators,Polar Air Cargo,,dgm_tsa_mentioned_entities,7aef8dd4bdcb87ba083713625fadcd28,dgm_tsa_mentioned_entities__7aef8dd4bdcb87ba083713625fadcd28
polarair,Polar Air Cargo,airline operators,,airline operators,,,,AirlineOperators,Polar Air Cargo,,dgm_tsa_mentioned_entities,8199a0d4b43ac7236e7a8bb4ead95f09,dgm_tsa_mentioned_entities__8199a0d4b43ac7236e7a8bb4ead95f09
polar air,Polar Air Cargo,airline operators,,airline operators,,,,AirlineOperators,Polar Air Cargo,,dgm_tsa_mentioned_entities,0f1640603e2f8479aca881f8a7bc9039,dgm_tsa_mentioned_entities__0f1640603e2f8479aca881f8a7bc9039
plus ultra,Plus Ultra,airline operators,,airline operators,,,,AirlineOperators,Plus Ultra,,dgm_tsa_mentioned_entities,d5c868a87a612cd7dce927ab98fc4f92,dgm_tsa_mentioned_entities__d5c868a87a612cd7dce927ab98fc4f92
planetnineprivateair,Planet Nine Private Air,airline operators,,airline operators,,,,AirlineOperators,Planet Nine Private Air,,dgm_tsa_mentioned_entities,ba198912c8f18677fbc79287db2e0b7b,dgm_tsa_mentioned_entities__ba198912c8f18677fbc79287db2e0b7b
planet9,Planet Nine Private Air,airline operators,,airline operators,,,,AirlineOperators,Planet Nine Private Air,,dgm_tsa_mentioned_entities,2bdf609084b3cc6bcceab038904ae0ca,dgm_tsa_mentioned_entities__2bdf609084b3cc6bcceab038904ae0ca
planet nine,Planet Nine Private Air,airline operators,,airline operators,,,,AirlineOperators,Planet Nine Private Air,,dgm_tsa_mentioned_entities,aeca49d345457f668e7c63c64ef5b72b,dgm_tsa_mentioned_entities__aeca49d345457f668e7c63c64ef5b72b
