german_word,caption_text,threshold,topic,ranking,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Badeunfall,swimming accident,Local Urgent,"188131, 188290",5,DiplomaticFacilities,swimming accident,,german_mapping_eventType,323e5797a2b75233862f7aa9f641aa4c,german_mapping_eventType__323e5797a2b75233862f7aa9f641aa4c
Drehleiterunterstutzung fur den Rettungsdienst,fire department provides ladder support for rescue service,Signal,188118,34,Media,fire department provides ladder support for rescue service,,german_mapping_eventType,d3fe29351b82cb60bf09159109cec75b,german_mapping_eventType__d3fe29351b82cb60bf09159109cec75b
Brandmeldeanlage durch Chemieexperiment,fire alarm started by chemical experiment,Signal,188118,30,IndustryTerm,fire alarm started by chemical experiment,,german_mapping_eventType,a0ec4f1e5c51f4cc9349f71e74f4f4ba,german_mapping_eventType__a0ec4f1e5c51f4cc9349f71e74f4f4ba
Fahrzeug offnen,fire department responds to person trapped in car,Signal,188130,34,DiplomaticFacilities,fire department responds to person trapped in car,,german_mapping_eventType,b38549d56ecc71a8650d891867937b77,german_mapping_eventType__b38549d56ecc71a8650d891867937b77
schweren #Unfall,serious accident,Signal,188130,23,IndustryTerm,serious accident,,german_mapping_eventType,32aadc146bf1368f75604f226e5e4fc6,german_mapping_eventType__32aadc146bf1368f75604f226e5e4fc6
H:Hilfeleistung,fire department deploys for assistance,Signal,188130,34,AAEntity,fire department deploys for assistance,,german_mapping_eventType,47e93db3e2272de9700357645d40e75f,german_mapping_eventType__47e93db3e2272de9700357645d40e75f
Verkehrsunfall zwischen einem PKW und einem LKW,truck crash,Local Urgent,188130,23,Shipping,truck crash,,german_mapping_eventType,77a7eb62c4e51b92924e1df4e7dfa003,german_mapping_eventType__77a7eb62c4e51b92924e1df4e7dfa003
Baum auf Fahrbahn,tree on roadway,signal,188130,34,Shipping,tree on roadway,,german_mapping_eventType,d1f2d240f58c700c4cf9eea72c452b22,german_mapping_eventType__d1f2d240f58c700c4cf9eea72c452b22
Unfall zwischen PKW und LKW,truck crash,Local Urgent,188130,23,Legislator,truck crash,,german_mapping_eventType,77a7eb62c4e51b92924e1df4e7dfa003,german_mapping_eventType__77a7eb62c4e51b92924e1df4e7dfa003
mit einer Glasflasche beworfen,emergency responders attacked,Local Urgent,188297,1,Media,emergency responders attacked,,german_mapping_eventType,1aa300fd61b2a4b2500ff7c2d9c8491a,german_mapping_eventType__1aa300fd61b2a4b2500ff7c2d9c8491a
Personenrettung aus dem #Rhein,emergency responders rescue swimmers from Rhine,Local Urgent,"188131, 188290",5,Organization,emergency responders rescue swimmers from Rhine,,german_mapping_eventType,a8e335bc955479b6e805a423fd4b22b9,german_mapping_eventType__a8e335bc955479b6e805a423fd4b22b9
unklare Rauchentwicklung,smoke development,Signal,188118,20,space,smoke development,,german_mapping_eventType,bad60da01d9a579edbb290ced12ec8ea,german_mapping_eventType__bad60da01d9a579edbb290ced12ec8ea
B:Klein,small fire,Signal,188118,19,LegislativeCommittee,small fire,,german_mapping_eventType,96bb418111999a3d3f9e304088c6bf95,german_mapping_eventType__96bb418111999a3d3f9e304088c6bf95
Ausgeloster priv. Rauchmelder,Fire alarm,Signal,188118,30,Wells,Fire alarm,,german_mapping_eventType,04c57a78beab60126c86d796c70e906c,german_mapping_eventType__04c57a78beab60126c86d796c70e906c
Person eingeschlossen,fire department responds to person trapped,Signal,188118,30,Refinery,fire department responds to person trapped,,german_mapping_eventType,0b5a1fc008b9c997bed485a63e1a2a7c,german_mapping_eventType__0b5a1fc008b9c997bed485a63e1a2a7c
VU mit 1 oder 2 PKW,multiple car crash,Signal,188130,23,Consulates,multiple car crash,,german_mapping_eventType,439d15b3a7b7ecc01edbb70557609543,german_mapping_eventType__439d15b3a7b7ecc01edbb70557609543
auslaufender Kraftstoff,fuel leak,Signal,"188130, 188122",15,ForeignMinister,fuel leak,,german_mapping_eventType,f708dd41a418c5ee43568a9d2eaaee2b,german_mapping_eventType__f708dd41a418c5ee43568a9d2eaaee2b
Brandursachenermittlung,police investigate cause of fire,Signal,188118,18,Keyphrase,police investigate cause of fire,,german_mapping_eventType,c0d792b01171aad2ff1ddbff018dc926,german_mapping_eventType__c0d792b01171aad2ff1ddbff018dc926
THL P EINGESCHLOSSEN,fire department responds to person trapped,Signal,188118,25,AAEntity,fire department responds to person trapped,,german_mapping_eventType,0b5a1fc008b9c997bed485a63e1a2a7c,german_mapping_eventType__0b5a1fc008b9c997bed485a63e1a2a7c
VU mit PKW,car crash,Signal,188130,23,Legislator,car crash,,german_mapping_eventType,77afa6a91899572e486ceb85fa199b76,german_mapping_eventType__77afa6a91899572e486ceb85fa199b76
#Feuer_aus,Fire extinguished,Signal,188118,19,Organization,Fire extinguished,,german_mapping_eventType,7ab0c3e404cb239d616755252cd78e80,german_mapping_eventType__7ab0c3e404cb239d616755252cd78e80
Verunreinigung durch ol,oil leak,Signal,"188130, 188122",15,Refinery,oil leak,,german_mapping_eventType,df69819bfaece77dc34f9025387c8d5d,german_mapping_eventType__df69819bfaece77dc34f9025387c8d5d
balkonbrand,fire on balcony,Signal,188118,19,Exec,fire on balcony,,german_mapping_eventType,b12449f3631a0be573fb1187b658da47,german_mapping_eventType__b12449f3631a0be573fb1187b658da47
baum auf strasse,tree on roadway,Signal,188130,34,Pipeline,tree on roadway,,german_mapping_eventType,d1f2d240f58c700c4cf9eea72c452b22,german_mapping_eventType__d1f2d240f58c700c4cf9eea72c452b22
