keyword,caption_name,location_id,groups,country,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
mongui,"Mongui, Colombia",monguicolombia,colombia,Colombia,Pipeline,"Mongui, Colombia",,dgm_latamnarcoticslocations,4a2fdd3f72d2af41b930f89a13912236,dgm_latamnarcoticslocations__4a2fdd3f72d2af41b930f89a13912236
moniquira,"Moniquira, Colombia",moniquiracolombia,colombia,Colombia,LegislativeCommittee,"Moniquira, Colombia",,dgm_latamnarcoticslocations,96812b35795337b498129bbabdde3914,dgm_latamnarcoticslocations__96812b35795337b498129bbabdde3914
motavita,"Motavita, Colombia",motavitacolombia,colombia,Colombia,space,"Motavita, Colombia",,dgm_latamnarcoticslocations,45cfdbf420ef304c3f951cec9e86823a,dgm_latamnarcoticslocations__45cfdbf420ef304c3f951cec9e86823a
muzo,"Muzo, Colombia",muzocolombia,colombia,Colombia,ForeignMinister,"Muzo, Colombia",,dgm_latamnarcoticslocations,28af5747a1de6e61f58fda7e8dea58ce,dgm_latamnarcoticslocations__28af5747a1de6e61f58fda7e8dea58ce
nobsa,"Nobsa, Colombia",nobsacolombia,colombia,Colombia,Media,"Nobsa, Colombia",,dgm_latamnarcoticslocations,2e50e8a29f630bc185ac8232499dfa50,dgm_latamnarcoticslocations__2e50e8a29f630bc185ac8232499dfa50
nuevo colon,"Nuevo Colon, Colombia",nuevocoloncolombia,colombia,Colombia,Shipping,"Nuevo Colon, Colombia",,dgm_latamnarcoticslocations,32cd2afe292cdfe91ba45262dc755fe8,dgm_latamnarcoticslocations__32cd2afe292cdfe91ba45262dc755fe8
oicata,"Oicata, Colombia",oicatacolombia,colombia,Colombia,AAEntity,"Oicata, Colombia",,dgm_latamnarcoticslocations,4c083db19c00978f97817febce2e9030,dgm_latamnarcoticslocations__4c083db19c00978f97817febce2e9030
otanche,"Otanche, Colombia",otanchecolombia,colombia,Colombia,Diplomat,"Otanche, Colombia",,dgm_latamnarcoticslocations,f6a6baffee2aa3e9d3e5422ccad69c50,dgm_latamnarcoticslocations__f6a6baffee2aa3e9d3e5422ccad69c50
pachavita,"Pachavita, Colombia",pachavitacolombia,colombia,Colombia,Person,"Pachavita, Colombia",,dgm_latamnarcoticslocations,c74ffa1356e67f04d621db4ce8ff1cbe,dgm_latamnarcoticslocations__c74ffa1356e67f04d621db4ce8ff1cbe
paez,"Paez, Colombia",paezcolombia,colombia,Colombia,Organization,"Paez, Colombia",,dgm_latamnarcoticslocations,7eb19ed69ce0de64e7a2383e6bf1a919,dgm_latamnarcoticslocations__7eb19ed69ce0de64e7a2383e6bf1a919
