german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kampshege,"Kampshege in Hamm, Germany",51.6552738,7.8433237,1,,,,,,,,Refinery,"Kampshege in Hamm, Germany",,german_fires_hamm_locations,8e1cb2e3107f443aaab858421641d957,german_fires_hamm_locations__8e1cb2e3107f443aaab858421641d957
kampstrasse,"Kampstrasse in Hamm, Germany",51.6866289,7.7297599,1,,,,,,,,News,"Kampstrasse in Hamm, Germany",,german_fires_hamm_locations,f8ca57c0934fcf7a6243ee019e8ac71d,german_fires_hamm_locations__f8ca57c0934fcf7a6243ee019e8ac71d
kanalstrasse,"Kanalstrasse in Hamm, Germany",51.6701957,7.7398157,1,,,,,,,,Consulates,"Kanalstrasse in Hamm, Germany",,german_fires_hamm_locations,aea6604a3049c0ee94f2e1bd83ec8d99,german_fires_hamm_locations__aea6604a3049c0ee94f2e1bd83ec8d99
kandinskyweg,"Kandinskyweg in Hamm, Germany",51.6601579,7.8282487,1,,,,,,,,Diplomat,"Kandinskyweg in Hamm, Germany",,german_fires_hamm_locations,f7a810568bf977dfdd36670d9bdf7294,german_fires_hamm_locations__f7a810568bf977dfdd36670d9bdf7294
kapellenweg,"Kapellenweg in Hamm, Germany",51.6706461,7.7324805,1,,,,,,,,News,"Kapellenweg in Hamm, Germany",,german_fires_hamm_locations,943c64daabe33c34b20ef8853ce02580,german_fires_hamm_locations__943c64daabe33c34b20ef8853ce02580
kapellenweg,"Kapellenweg in Hamm, Germany",51.6706461,7.7324805,1,,,,,,,,Organization,"Kapellenweg in Hamm, Germany",,german_fires_hamm_locations,943c64daabe33c34b20ef8853ce02580,german_fires_hamm_locations__943c64daabe33c34b20ef8853ce02580
karl-arnold-strasse,"Karl-Arnold-Strasse in Hamm, Germany",51.6649544,7.8389195,1,,,,,,,,Refinery,"Karl-Arnold-Strasse in Hamm, Germany",,german_fires_hamm_locations,e2972fbf10145ea1853e6317b50cbd05,german_fires_hamm_locations__e2972fbf10145ea1853e6317b50cbd05
karl-drilling-strasse,"Karl-Drilling-Strasse in Hamm, Germany",51.7046515,7.793909,1,,,,,,,,ForeignMinister,"Karl-Drilling-Strasse in Hamm, Germany",,german_fires_hamm_locations,d2b4ccf3ef3ec0610c1235c878794511,german_fires_hamm_locations__d2b4ccf3ef3ec0610c1235c878794511
karl-friedrich-bertram-weg,"Karl-Friedrich-Bertram-Weg in Hamm, Germany",51.6906305,7.7765223,1,,,,,,,,ForeignMinister,"Karl-Friedrich-Bertram-Weg in Hamm, Germany",,german_fires_hamm_locations,5a791d7dc26041664b246a981b063523,german_fires_hamm_locations__5a791d7dc26041664b246a981b063523
karl-kossmann-strasse,"Karl-Kossmann-Strasse in Hamm, Germany",51.6859792,7.886727,1,,,,,,,,space,"Karl-Kossmann-Strasse in Hamm, Germany",,german_fires_hamm_locations,7017bb4d171b2365d9c58595e1c0fa6c,german_fires_hamm_locations__7017bb4d171b2365d9c58595e1c0fa6c
