german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
freiherr-vom-stein-strasse,"Freiherr-vom-Stein-Strasse in Hildesheim, Germany",52.1404851,9.9645783,1,,,,,LegislativeCommittee,"Freiherr-vom-Stein-Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,17a9799fb2453287e6a87b23f2bd5a58,german_fires_hildesheim_locations__17a9799fb2453287e6a87b23f2bd5a58
friedrich-ebert-strasse,"Friedrich-Ebert-Strasse in Hildesheim, Germany",52.1690687,9.9097575,1,,,,,Legislator,"Friedrich-Ebert-Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,0f68b92e50d090377a0a9e4104b1e80a,german_fires_hildesheim_locations__0f68b92e50d090377a0a9e4104b1e80a
friedrich-hage-weg,"Friedrich-Hage-Weg in Hildesheim, Germany",52.1730586,9.969193,1,,,,,CompanyKeyword,"Friedrich-Hage-Weg in Hildesheim, Germany",,german_fires_hildesheim_locations,343434f048d8f4928c5fa921fbef6f45,german_fires_hildesheim_locations__343434f048d8f4928c5fa921fbef6f45
friedrich-lekve-strasse,"Friedrich-Lekve-Strasse in Hildesheim, Germany",52.1716836,9.9680615,1,,,,,Consulates,"Friedrich-Lekve-Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,14359696521053b16935e3a6e3f50fae,german_fires_hildesheim_locations__14359696521053b16935e3a6e3f50fae
friedrichstrasse,"Friedrichstrasse in Hildesheim, Germany",52.1579412,9.9515515,1,,,,,CompanyKeyword,"Friedrichstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,5e3374a035560376dacbb62a96df1f73,german_fires_hildesheim_locations__5e3374a035560376dacbb62a96df1f73
friesenstieg,"Friesenstieg in Hildesheim, Germany",52.149606,9.9525858,1,,,,,Keyphrase,"Friesenstieg in Hildesheim, Germany",,german_fires_hildesheim_locations,597a8415ddcb51da74ed143347b42baf,german_fires_hildesheim_locations__597a8415ddcb51da74ed143347b42baf
friesenstrasse,"Friesenstrasse in Hildesheim, Germany",52.1500424,9.952854,1,,,,,Shipping,"Friesenstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,f93a8aa5ef0d03ba3d351135f0e0c984,german_fires_hildesheim_locations__f93a8aa5ef0d03ba3d351135f0e0c984
friesentor,"Friesentor in Hildesheim, Germany",52.1633259,10.0134922,1,,,,,CompanyKeyword,"Friesentor in Hildesheim, Germany",,german_fires_hildesheim_locations,085254f2bd4a29329a608fa1faa5059c,german_fires_hildesheim_locations__085254f2bd4a29329a608fa1faa5059c
fritz-lehmann-strasse,"Fritz-Lehmann-Strasse in Hildesheim, Germany",52.1563739,9.9124786,1,,,,,Media,"Fritz-Lehmann-Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,2f2c9924c2d1239c00f00a266663e785,german_fires_hildesheim_locations__2f2c9924c2d1239c00f00a266663e785
fritz-reuter-strasse,"Fritz-Reuter-Strasse in Hildesheim, Germany",52.1638699,9.9060136,1,,,,,ForeignMinister,"Fritz-Reuter-Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,2359ec2b1c0c95912483a2cb0b9a172f,german_fires_hildesheim_locations__2359ec2b1c0c95912483a2cb0b9a172f
frobelstrasse,"Frobelstrasse in Hildesheim, Germany",52.1685421,9.9421364,1,,,,,Person,"Frobelstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,8ec22f3557c891660f0958a72aa43114,german_fires_hildesheim_locations__8ec22f3557c891660f0958a72aa43114
fuchsanger,"Fuchsanger in Hildesheim, Germany",52.1740907,9.9952714,1,,,,,Wells,"Fuchsanger in Hildesheim, Germany",,german_fires_hildesheim_locations,57c8efe36a3e341afb6874f243a3cf4c,german_fires_hildesheim_locations__57c8efe36a3e341afb6874f243a3cf4c
fuchsberg,"Fuchsberg in Hildesheim, Germany",52.1142107,9.9921287,1,,,,,News,"Fuchsberg in Hildesheim, Germany",,german_fires_hildesheim_locations,e42d80e72b8b8960c89631dc611eb052,german_fires_hildesheim_locations__e42d80e72b8b8960c89631dc611eb052
galgenberg,"Galgenberg in Hildesheim, Germany",52.1419666,9.976872,1,,,,,DiplomaticFacilities,"Galgenberg in Hildesheim, Germany",,german_fires_hildesheim_locations,33a8f35301d8a979a7fa09fe6ba068f1,german_fires_hildesheim_locations__33a8f35301d8a979a7fa09fe6ba068f1
galgenbergblick,"Galgenbergblick in Hildesheim, Germany",52.1490222,9.9471512,1,,,,,Diplomat,"Galgenbergblick in Hildesheim, Germany",,german_fires_hildesheim_locations,4d098a182fac8d119e8ec7fedbc50f77,german_fires_hildesheim_locations__4d098a182fac8d119e8ec7fedbc50f77
galgenbergsfeld,"Galgenbergsfeld in Hildesheim, Germany",52.1476252,9.9841872,1,,,,,Diplomat,"Galgenbergsfeld in Hildesheim, Germany",,german_fires_hildesheim_locations,1588fb3804ce768d39107c443e09d5f2,german_fires_hildesheim_locations__1588fb3804ce768d39107c443e09d5f2
galgenbergstrasse,"Galgenbergstrasse in Hildesheim, Germany",52.1508724,9.9648663,1,,,,,IndustryTerm,"Galgenbergstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,9cc979dfe290cb8567febe37736b1ace,german_fires_hildesheim_locations__9cc979dfe290cb8567febe37736b1ace
gallberg,"Gallberg in Hildesheim, Germany",52.156756,9.9075296,1,,,,,ForeignMinistry,"Gallberg in Hildesheim, Germany",,german_fires_hildesheim_locations,86d45f4d4009f64054ce6d0c7c3c39e7,german_fires_hildesheim_locations__86d45f4d4009f64054ce6d0c7c3c39e7
gallbergstieg,"Gallbergstieg in Hildesheim, Germany",52.1529585,9.915526,1,,,,,ForeignMinistry,"Gallbergstieg in Hildesheim, Germany",,german_fires_hildesheim_locations,0c073aaec9d6673b66ac4427a02f5cba,german_fires_hildesheim_locations__0c073aaec9d6673b66ac4427a02f5cba
gartenstrasse,"Gartenstrasse in Hildesheim, Germany",52.1512715,9.9578532,1,,,,,Wells,"Gartenstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,002ba74bdacebaa4a9cb5e252a594089,german_fires_hildesheim_locations__002ba74bdacebaa4a9cb5e252a594089
gasse,"Gasse in Hildesheim, Germany",52.1506702,10.0091056,1,,,,,Media,"Gasse in Hildesheim, Germany",,german_fires_hildesheim_locations,a1b553538e3a9cc9447e3d2f678c1815,german_fires_hildesheim_locations__a1b553538e3a9cc9447e3d2f678c1815
gaussstrasse,"Gaussstrasse in Hildesheim, Germany",52.1459163,9.9433971,1,,,,,Shipping,"Gaussstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,80d3a125853dcea976362be9e69abae5,german_fires_hildesheim_locations__80d3a125853dcea976362be9e69abae5
gebauerstrasse,"Gebauerstrasse in Hildesheim, Germany",52.1735829,9.9762108,1,,,,,Consulates,"Gebauerstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,787780810789c691bf634eb7bcd5445c,german_fires_hildesheim_locations__787780810789c691bf634eb7bcd5445c
gelber stern,"Gelber Stern in Hildesheim, Germany",52.1463494,9.9512394,1,,,,,DiplomaticFacilities,"Gelber Stern in Hildesheim, Germany",,german_fires_hildesheim_locations,e8b1ec86bcf2169ad3f46ebbfcefe4cb,german_fires_hildesheim_locations__e8b1ec86bcf2169ad3f46ebbfcefe4cb
georg-brauns-platz,"Georg-Brauns-Platz in Hildesheim, Germany",52.1596339,9.9524191,1,,,,,ForeignMinistry,"Georg-Brauns-Platz in Hildesheim, Germany",,german_fires_hildesheim_locations,cbeaad61e7fcaea20cf967b21b6a6278,german_fires_hildesheim_locations__cbeaad61e7fcaea20cf967b21b6a6278
gerberstrasse,"Gerberstrasse in Hildesheim, Germany",52.1541165,9.9520392,1,,,,,space,"Gerberstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,3f6edf4c50d94d4d20350b73c2f83b3d,german_fires_hildesheim_locations__3f6edf4c50d94d4d20350b73c2f83b3d
gerhart-hauptmann-strasse,"Gerhart-Hauptmann-Strasse in Hildesheim, Germany",52.1657843,9.9054645,1,,,,,Legislator,"Gerhart-Hauptmann-Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,540ef6fa1eee1159205296d945a1322d,german_fires_hildesheim_locations__540ef6fa1eee1159205296d945a1322d
gerlandstrasse,"Gerlandstrasse in Hildesheim, Germany",52.1410209,9.9354123,1,,,,,DiplomaticFacilities,"Gerlandstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,6727b567f70f8f9a63e6a6debfc18f63,german_fires_hildesheim_locations__6727b567f70f8f9a63e6a6debfc18f63
gerstenbergweg,"Gerstenbergweg in Hildesheim, Germany",52.1504051,9.9164554,1,,,,,FTO,"Gerstenbergweg in Hildesheim, Germany",,german_fires_hildesheim_locations,3025630898adea2afea91bdc8c869fb9,german_fires_hildesheim_locations__3025630898adea2afea91bdc8c869fb9
geschwister-scholl-strasse,"Geschwister-Scholl-Strasse in Hildesheim, Germany",52.1468799,9.9209993,1,,,,,Exec,"Geschwister-Scholl-Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,fcf0e44547d16ea06fef39e1c25f78ae,german_fires_hildesheim_locations__fcf0e44547d16ea06fef39e1c25f78ae
glatzer strasse,"Glatzer Strasse in Hildesheim, Germany",52.1316393,9.9365238,1,,,,,AAEntity,"Glatzer Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,b887fb86c72fc23c44d9f1644c86b0e2,german_fires_hildesheim_locations__b887fb86c72fc23c44d9f1644c86b0e2
