company,GUID,caption name,exactcheck,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
counterpoint global,9597f9cbacb1485175682349860da818,Counterpoint Global,,LegislativeCommittee,Counterpoint Global,,CrunchbaseFunding_CompanyMapping,20e0b182acbcb15e4ece67f1832797dc,CrunchbaseFunding_CompanyMapping__20e0b182acbcb15e4ece67f1832797dc
bose,960e0d172242014d2a3c40d906cdefce,Bose,,DiplomaticFacilities,Bose,,CrunchbaseFunding_CompanyMapping,20383fe03b614c5fb3a4da13e1d0b873,CrunchbaseFunding_CompanyMapping__20383fe03b614c5fb3a4da13e1d0b873
huntsman,961638021ddd7081ac10e2857b3895af,Huntsman,,AAEntity,Huntsman,,CrunchbaseFunding_CompanyMapping,f4f7985b69acaebc7c2973b30f734182,CrunchbaseFunding_CompanyMapping__f4f7985b69acaebc7c2973b30f734182
siemens,"964f1bace36f2c1c15fa5f051695f122,be5b19ab3dd584a8a156bd0de7506bee",Siemens,,Exec,Siemens,,CrunchbaseFunding_CompanyMapping,74993f42c49b81f3a77103bcbb247c2b,CrunchbaseFunding_CompanyMapping__74993f42c49b81f3a77103bcbb247c2b
jpmorgan,966191f75ef9ac701462a3d71cb0811c,JPMorgan,,Refinery,JPMorgan,,CrunchbaseFunding_CompanyMapping,85c17ee4a61abf22731a993ce97e531f,CrunchbaseFunding_CompanyMapping__85c17ee4a61abf22731a993ce97e531f
j.p. morgan,966191f75ef9ac701462a3d71cb0811c,JPMorgan,,Diplomat,JPMorgan,,CrunchbaseFunding_CompanyMapping,85c17ee4a61abf22731a993ce97e531f,CrunchbaseFunding_CompanyMapping__85c17ee4a61abf22731a993ce97e531f
jp morgan,966191f75ef9ac701462a3d71cb0811c,JPMorgan,,News,JPMorgan,,CrunchbaseFunding_CompanyMapping,85c17ee4a61abf22731a993ce97e531f,CrunchbaseFunding_CompanyMapping__85c17ee4a61abf22731a993ce97e531f
petronas,96a18c766c0e60a9b6f8b992d934875a,Petronas,,Legislator,Petronas,,CrunchbaseFunding_CompanyMapping,b4321c5b207b026711819d3c3fa6ab32,CrunchbaseFunding_CompanyMapping__b4321c5b207b026711819d3c3fa6ab32
lyondellbasell,96bb1d523918211afb99ca3281e5eeb9,LyondellBasell,,Diplomat,LyondellBasell,,CrunchbaseFunding_CompanyMapping,cfa3e246a2fde88f3e7ca6856df46b74,CrunchbaseFunding_CompanyMapping__cfa3e246a2fde88f3e7ca6856df46b74
servicenow,96ec708773c2c1502097539d10236047,ServiceNow,,Shipping,ServiceNow,,CrunchbaseFunding_CompanyMapping,3f9f6951a15d7f9fff1e42f86a01430e,CrunchbaseFunding_CompanyMapping__3f9f6951a15d7f9fff1e42f86a01430e
virgin media,9734a227013f1a456fbf2a555f9169ae,Virgin Media,,FTO,Virgin Media,,CrunchbaseFunding_CompanyMapping,7c9260b3ccab235bdf49c5009c6bc804,CrunchbaseFunding_CompanyMapping__7c9260b3ccab235bdf49c5009c6bc804
smithfield foods,976b30042c7064d00ebc407e2fb7ec8e,Smithfield Foods,,space,Smithfield Foods,,CrunchbaseFunding_CompanyMapping,f20ef6281906e573686061fb70e1af39,CrunchbaseFunding_CompanyMapping__f20ef6281906e573686061fb70e1af39
