keyword,caption_name,location_lower,lat,long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hettstedt,"Hettstedt, Germany",hettstedt,51.6441297,11.509236,AAEntity,"Hettstedt, Germany",,dgm_german_location,2969d66a1c37d7284eac7f5b30d6becc,dgm_german_location__2969d66a1c37d7284eac7f5b30d6becc
heubach,"Heubach, Germany",heubach,48.7932273,9.931607,Diplomat,"Heubach, Germany",,dgm_german_location,09bb52375c68cdbc53342f0a510ce8de,dgm_german_location__09bb52375c68cdbc53342f0a510ce8de
heusenstamm,"Heusenstamm, Germany",heusenstamm,50.0554864,8.7999301,ForeignMinistry,"Heusenstamm, Germany",,dgm_german_location,2a03a1d36dd5bc482b70e90ed77f19fc,dgm_german_location__2a03a1d36dd5bc482b70e90ed77f19fc
hilchenbach,"Hilchenbach, Germany",hilchenbach,50.9967407,8.1111635,IndustryTerm,"Hilchenbach, Germany",,dgm_german_location,c4c15d296afc55ffb4aab1b853f21012,dgm_german_location__c4c15d296afc55ffb4aab1b853f21012
hildburghausen,"Hildburghausen, Germany",hildburghausen,50.4263293,10.7312097,DiplomaticFacilities,"Hildburghausen, Germany",,dgm_german_location,eeac53c86c4b714f958893689f9181d1,dgm_german_location__eeac53c86c4b714f958893689f9181d1
hilden,"Hilden, Germany",hilden,51.1678567,6.9352253,Diplomat,"Hilden, Germany",,dgm_german_location,bf4b12e31baffb37fbe3b732b9a847a9,dgm_german_location__bf4b12e31baffb37fbe3b732b9a847a9
hildesheim,"Hildesheim, Germany",hildesheim,52.154778,9.9579652,CompanyKeyword,"Hildesheim, Germany",,dgm_german_location,93d1a1fa18850f0cca8fd2d4f2597ac1,dgm_german_location__93d1a1fa18850f0cca8fd2d4f2597ac1
hillesheim,"Hillesheim, Germany",hillesheim,50.2916294,6.6718305,ForeignMinistry,"Hillesheim, Germany",,dgm_german_location,70f7cacad852e7b197edcc8e5f5b1d67,dgm_german_location__70f7cacad852e7b197edcc8e5f5b1d67
hilpoltstein,"Hilpoltstein, Germany",hilpoltstein,49.1891243,11.1885756,CompanyKeyword,"Hilpoltstein, Germany",,dgm_german_location,f7a7cca5ffe7380dadcae21eff83e1c6,dgm_german_location__f7a7cca5ffe7380dadcae21eff83e1c6
hirschau,"Hirschau, Germany",hirschau,49.545563,11.9431406,space,"Hirschau, Germany",,dgm_german_location,7c74d5ec9040b97c087dc00c6bfef4b1,dgm_german_location__7c74d5ec9040b97c087dc00c6bfef4b1
hirschberg,"Hirschberg, Germany",hirschberg,50.4074967,11.8165537,CompanyKeyword,"Hirschberg, Germany",,dgm_german_location,d6b5d0f46f1b0213f0b2ac91bdcc12dd,dgm_german_location__d6b5d0f46f1b0213f0b2ac91bdcc12dd
hirschhorn neckar,"Hirschhorn (Neckar), Germany",hirschhorn neckar,49.4466583,8.8971213,DiplomaticFacilities,"Hirschhorn (Neckar), Germany",,dgm_german_location,090ed58aa1dec7f69e356cca71de78de,dgm_german_location__090ed58aa1dec7f69e356cca71de78de
hitzacker elbe,"Hitzacker, Germany",hitzacker elbe,53.1479586,11.0436624,News,"Hitzacker, Germany",,dgm_german_location,d20e9df3d3f4c30793e1091cf839dcb8,dgm_german_location__d20e9df3d3f4c30793e1091cf839dcb8
