space_handle,caption_name,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
pdaerospace,PD AeroSpace,,AAEntity,PD AeroSpace,,dgm_spacecompanysources,41aa3bb548224e8476254732cd6177e0,dgm_spacecompanysources__41aa3bb548224e8476254732cd6177e0
sscspace,Swedish Space Corporation,,Wells,Swedish Space Corporation,,dgm_spacecompanysources,12ddee63b32a4a8b9dece3a7b92b9db1,dgm_spacecompanysources__12ddee63b32a4a8b9dece3a7b92b9db1
natsuroke,Interstellar Technologies,interstellartechnologies,Keyphrase,Interstellar Technologies,,dgm_spacecompanysources,9c1772189713aefe11bf2665ec0af545,dgm_spacecompanysources__9c1772189713aefe11bf2665ec0af545
launch_company,The Launch Company,,Media,The Launch Company,,dgm_spacecompanysources,a8e354399958740f79e2ec05ed4505cd,dgm_spacecompanysources__a8e354399958740f79e2ec05ed4505cd
agile_space,Agile Space Industries,,Exec,Agile Space Industries,,dgm_spacecompanysources,83a247e795c739001384335894780f5b,dgm_spacecompanysources__83a247e795c739001384335894780f5b
ilslaunch,International Launch Services,,FTO,International Launch Services,,dgm_spacecompanysources,34af0d23c86a5b2de547715d6f6ce9f1,dgm_spacecompanysources__34af0d23c86a5b2de547715d6f6ce9f1
arcaspace,ARCA Space Corporation,,ForeignMinister,ARCA Space Corporation,,dgm_spacecompanysources,be604050cee2537a756d38bba55fc301,dgm_spacecompanysources__be604050cee2537a756d38bba55fc301
adastrarocket,Ad Astra Rocket Company,,Shipping,Ad Astra Rocket Company,,dgm_spacecompanysources,0a61729c3cc80a5b61fa6c498ccfa0db,dgm_spacecompanysources__0a61729c3cc80a5b61fa6c498ccfa0db
launcher,Launcher,,Organization,Launcher,,dgm_spacecompanysources,14f571fdbfded75cb6d48e6645da7934,dgm_spacecompanysources__14f571fdbfded75cb6d48e6645da7934
zero2infinity,Zero 2 Infinity,,News,Zero 2 Infinity,,dgm_spacecompanysources,a851daad5bf68ee728e3a55bc593e0b0,dgm_spacecompanysources__a851daad5bf68ee728e3a55bc593e0b0
interorbital,Interorbital Systems,,Legislator,Interorbital Systems,,dgm_spacecompanysources,18e9a834446cfcfe3f7aecfd66c7dc84,dgm_spacecompanysources__18e9a834446cfcfe3f7aecfd66c7dc84
mastenspace,Masten Space Systems,,Media,Masten Space Systems,,dgm_spacecompanysources,280b1be706394b463a04051519328b58,dgm_spacecompanysources__280b1be706394b463a04051519328b58
upaerospace,UP Aerospace,,Legislator,UP Aerospace,,dgm_spacecompanysources,c52e3242dcb83f19f143744307d3775f,dgm_spacecompanysources__c52e3242dcb83f19f143744307d3775f
worldviewspace,World View Enterprises,,FTO,World View Enterprises,,dgm_spacecompanysources,c2f961652db7229f4288b445ef01e552,dgm_spacecompanysources__c2f961652db7229f4288b445ef01e552
