keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
El Salvador,El Salvador,El Salvador,Country,Country,El Salvador,,dgm_traveladvisories_country_ger,e96d24bdfc024e04f49f1f0cc011ca20,dgm_traveladvisories_country_ger__e96d24bdfc024e04f49f1f0cc011ca20
Äquatorialguinea,Equatorial Guinea,Equatorial Guinea,Country,Country,Equatorial Guinea,,dgm_traveladvisories_country_ger,a38c2761908be5cef4a98ef5b3402ac9,dgm_traveladvisories_country_ger__a38c2761908be5cef4a98ef5b3402ac9
Eritrea,Eritrea,Eritrea,Country,Country,Eritrea,,dgm_traveladvisories_country_ger,c9c9f116f74ac9d7e60dc415523dfeff,dgm_traveladvisories_country_ger__c9c9f116f74ac9d7e60dc415523dfeff
Estland,Estonia,Estonia,Country,Country,Estonia,,dgm_traveladvisories_country_ger,7755415a9fe7022060b98a689236ccd2,dgm_traveladvisories_country_ger__7755415a9fe7022060b98a689236ccd2
Äthiopien,Ethiopia,Ethiopia,Country,Country,Ethiopia,,dgm_traveladvisories_country_ger,e299d7cb0f7866cce7d90da2af14047c,dgm_traveladvisories_country_ger__e299d7cb0f7866cce7d90da2af14047c
Fidschi,Fiji,Fiji,Country,Country,Fiji,,dgm_traveladvisories_country_ger,55b0c4d4efa00b59643b2e6a6e7c18c0,dgm_traveladvisories_country_ger__55b0c4d4efa00b59643b2e6a6e7c18c0
Finnland,Finland,Finland,Country,Country,Finland,,dgm_traveladvisories_country_ger,6f781c6559a0c605da918096bdb69edf,dgm_traveladvisories_country_ger__6f781c6559a0c605da918096bdb69edf
Frankreich,France,France,Country,Country,France,,dgm_traveladvisories_country_ger,0309a6c666a7a803fdb9db95de71cf01,dgm_traveladvisories_country_ger__0309a6c666a7a803fdb9db95de71cf01
Gabun,Gabon,Gabon,Country,Country,Gabon,,dgm_traveladvisories_country_ger,fceb5af40df295d85851f390f4f8d78d,dgm_traveladvisories_country_ger__fceb5af40df295d85851f390f4f8d78d
Gambia,Gambia,Gambia,Country,Country,Gambia,,dgm_traveladvisories_country_ger,e2a96e074e1d8a6f6de56abbd4a4d8dc,dgm_traveladvisories_country_ger__e2a96e074e1d8a6f6de56abbd4a4d8dc
Georgia,Georgia,Georgia,Country,Country,Georgia,,dgm_traveladvisories_country_ger,eada819634d0164c6a7547bdcc405033,dgm_traveladvisories_country_ger__eada819634d0164c6a7547bdcc405033
Deutschland,Germany,Germany,Country,Country,Germany,,dgm_traveladvisories_country_ger,d8b00929dec65d422303256336ada04f,dgm_traveladvisories_country_ger__d8b00929dec65d422303256336ada04f
Ghana,Ghana,Ghana,Country,Country,Ghana,,dgm_traveladvisories_country_ger,e7400496f1ce70cb62c2c44ca2ddc469,dgm_traveladvisories_country_ger__e7400496f1ce70cb62c2c44ca2ddc469
Griechenland,Greece,Greece,Country,Country,Greece,,dgm_traveladvisories_country_ger,6b718641741f992e68ec3712718561b8,dgm_traveladvisories_country_ger__6b718641741f992e68ec3712718561b8
Grenada,Grenada,Grenada,Country,Country,Grenada,,dgm_traveladvisories_country_ger,45b1cb9a558807139085c645d2f47f07,dgm_traveladvisories_country_ger__45b1cb9a558807139085c645d2f47f07
Guatemala,Guatemala,Guatemala,Country,Country,Guatemala,,dgm_traveladvisories_country_ger,948b13d5a3e11e21baadc349e199020e,dgm_traveladvisories_country_ger__948b13d5a3e11e21baadc349e199020e
Guinea,Guinea,Guinea,Country,Country,Guinea,,dgm_traveladvisories_country_ger,8e4d9eeed250a9d065ac2bb8bdc67b30,dgm_traveladvisories_country_ger__8e4d9eeed250a9d065ac2bb8bdc67b30
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Country,Country,Guinea-Bissau,,dgm_traveladvisories_country_ger,2d65f5236205dd23c6a8212627568fb8,dgm_traveladvisories_country_ger__2d65f5236205dd23c6a8212627568fb8
Guyana,Guyana,Guyana,Country,Country,Guyana,,dgm_traveladvisories_country_ger,cf4c7e1169281886577940e361854a84,dgm_traveladvisories_country_ger__cf4c7e1169281886577940e361854a84
Haiti,Haiti,Haiti,Country,Country,Haiti,,dgm_traveladvisories_country_ger,b88959cb7d907d91065ac7ec19eb0b44,dgm_traveladvisories_country_ger__b88959cb7d907d91065ac7ec19eb0b44
Honduras,Honduras,Honduras,Country,Country,Honduras,,dgm_traveladvisories_country_ger,f4270ce39e7e926052e097a0e4e63bde,dgm_traveladvisories_country_ger__f4270ce39e7e926052e097a0e4e63bde
Ungarn,Hungary,Hungary,Country,Country,Hungary,,dgm_traveladvisories_country_ger,fa79c3005daec47ecff84a116a0927a1,dgm_traveladvisories_country_ger__fa79c3005daec47ecff84a116a0927a1
Island,Iceland,Iceland,Country,Country,Iceland,,dgm_traveladvisories_country_ger,b78edab0f52e0d6c195fd0d8c5709d26,dgm_traveladvisories_country_ger__b78edab0f52e0d6c195fd0d8c5709d26
Indien,India,India,Country,Country,India,,dgm_traveladvisories_country_ger,7d31e0da1ab99fe8b08a22118e2f402b,dgm_traveladvisories_country_ger__7d31e0da1ab99fe8b08a22118e2f402b
Indonesien,Indonesia,Indonesia,Country,Country,Indonesia,,dgm_traveladvisories_country_ger,4647d00cf81f8fb0ab80f753320d0fc9,dgm_traveladvisories_country_ger__4647d00cf81f8fb0ab80f753320d0fc9
Iran,Iran,Iran,Country,Country,Iran,,dgm_traveladvisories_country_ger,21fc68909a9eb8692e84cf64e495213e,dgm_traveladvisories_country_ger__21fc68909a9eb8692e84cf64e495213e
Irak,Iraq,Iraq,Country,Country,Iraq,,dgm_traveladvisories_country_ger,5ae2ff99743a8487c917e98bbf3db2d3,dgm_traveladvisories_country_ger__5ae2ff99743a8487c917e98bbf3db2d3
Irland,Ireland,Ireland,Country,Country,Ireland,,dgm_traveladvisories_country_ger,06e415f918c577f07328a52e24f75d43,dgm_traveladvisories_country_ger__06e415f918c577f07328a52e24f75d43
Israel,Israel,Israel,Country,Country,Israel,,dgm_traveladvisories_country_ger,5a548c2f5875f10bf5614b7c258876cf,dgm_traveladvisories_country_ger__5a548c2f5875f10bf5614b7c258876cf
Italien,Italy,Italy,Country,Country,Italy,,dgm_traveladvisories_country_ger,1007e1b7f894dfbf72a0eaa80f3bc57e,dgm_traveladvisories_country_ger__1007e1b7f894dfbf72a0eaa80f3bc57e
Jamaika,Jamaica,Jamaica,Country,Country,Jamaica,,dgm_traveladvisories_country_ger,1add2eb41fcae9b2a15b4a7d68571409,dgm_traveladvisories_country_ger__1add2eb41fcae9b2a15b4a7d68571409
Japan,Japan,Japan,Country,Country,Japan,,dgm_traveladvisories_country_ger,53a577bb3bc587b0c28ab808390f1c9b,dgm_traveladvisories_country_ger__53a577bb3bc587b0c28ab808390f1c9b
Jordan,Jordan,Jordan,Country,Country,Jordan,,dgm_traveladvisories_country_ger,6ea1e24d60afddf388b06f8243c45b70,dgm_traveladvisories_country_ger__6ea1e24d60afddf388b06f8243c45b70
Kasachstan,Kazakhstan,Kazakhstan,Country,Country,Kazakhstan,,dgm_traveladvisories_country_ger,7c1a943bf29d2c753fb935e99428482c,dgm_traveladvisories_country_ger__7c1a943bf29d2c753fb935e99428482c
Kenia,Kenya,Kenya,Country,Country,Kenya,,dgm_traveladvisories_country_ger,94984a8c4896946d9bafd24959cb6181,dgm_traveladvisories_country_ger__94984a8c4896946d9bafd24959cb6181
Kiribati,Kiribati,Kiribati,Country,Country,Kiribati,,dgm_traveladvisories_country_ger,5445aab1db1bff113667140ec2e95742,dgm_traveladvisories_country_ger__5445aab1db1bff113667140ec2e95742
Kuwait,Kuwait,Kuwait,Country,Country,Kuwait,,dgm_traveladvisories_country_ger,05387f3ca38d7bd84ae35f31f2899ecf,dgm_traveladvisories_country_ger__05387f3ca38d7bd84ae35f31f2899ecf
Kirgisistan,Kyrgyzstan,Kyrgyzstan,Country,Country,Kyrgyzstan,,dgm_traveladvisories_country_ger,5e4a24f76c22f03700b283dfbdf6eec1,dgm_traveladvisories_country_ger__5e4a24f76c22f03700b283dfbdf6eec1
Laos,Laos,Laos,Country,Country,Laos,,dgm_traveladvisories_country_ger,601aebf4afb1db3fdb5c88f3cdda23ef,dgm_traveladvisories_country_ger__601aebf4afb1db3fdb5c88f3cdda23ef
Lettland,Latvia,Latvia,Country,Country,Latvia,,dgm_traveladvisories_country_ger,a09f4b2ae67f0a63ab8912047a1a1b55,dgm_traveladvisories_country_ger__a09f4b2ae67f0a63ab8912047a1a1b55
Libanon,Lebanon,Lebanon,Country,Country,Lebanon,,dgm_traveladvisories_country_ger,b45ff92cc522bb89bfc3b8ef3fc21b7d,dgm_traveladvisories_country_ger__b45ff92cc522bb89bfc3b8ef3fc21b7d
Lesotho,Lesotho,Lesotho,Country,Country,Lesotho,,dgm_traveladvisories_country_ger,e99bb6b91ef51dbe4eec9340dc7c68cf,dgm_traveladvisories_country_ger__e99bb6b91ef51dbe4eec9340dc7c68cf
Liberia,Liberia,Liberia,Country,Country,Liberia,,dgm_traveladvisories_country_ger,642cab67fc263bb61ae4ccbd577c8aa4,dgm_traveladvisories_country_ger__642cab67fc263bb61ae4ccbd577c8aa4
Libyen,Libya,Libya,Country,Country,Libya,,dgm_traveladvisories_country_ger,742b8abe5776a6d942a92ce7dc7d84a0,dgm_traveladvisories_country_ger__742b8abe5776a6d942a92ce7dc7d84a0
Liechtenstein,Liechtenstein,Liechtenstein,Country,Country,Liechtenstein,,dgm_traveladvisories_country_ger,da4e3775bd2de6c37fadd9b0188f7a4e,dgm_traveladvisories_country_ger__da4e3775bd2de6c37fadd9b0188f7a4e
Litauen,Lithuania,Lithuania,Country,Country,Lithuania,,dgm_traveladvisories_country_ger,d9051e0b77f8bb5521389618e70e2ada,dgm_traveladvisories_country_ger__d9051e0b77f8bb5521389618e70e2ada
Luxemburg,Luxembourg,Luxembourg,Country,Country,Luxembourg,,dgm_traveladvisories_country_ger,06630c890abadde9228ea818ce52b621,dgm_traveladvisories_country_ger__06630c890abadde9228ea818ce52b621
Madagaskar,Madagascar,Madagascar,Country,Country,Madagascar,,dgm_traveladvisories_country_ger,b5bcce260d9e303ca0e63f055187ed28,dgm_traveladvisories_country_ger__b5bcce260d9e303ca0e63f055187ed28
Malawi,Malawi,Malawi,Country,Country,Malawi,,dgm_traveladvisories_country_ger,70965feb0441ff7fc1982fc5c509136e,dgm_traveladvisories_country_ger__70965feb0441ff7fc1982fc5c509136e
Malaysia,Malaysia,Malaysia,Country,Country,Malaysia,,dgm_traveladvisories_country_ger,3f0e49c46cbde0c7adf5ea04a97ab261,dgm_traveladvisories_country_ger__3f0e49c46cbde0c7adf5ea04a97ab261
Malediven,Maldives,Maldives,Country,Country,Maldives,,dgm_traveladvisories_country_ger,62235142f3fca96e1f2cd0ed4a7de48d,dgm_traveladvisories_country_ger__62235142f3fca96e1f2cd0ed4a7de48d
Mali,Mali,Mali,Country,Country,Mali,,dgm_traveladvisories_country_ger,e90c93ceb8ccdcdf3b797f47edee866d,dgm_traveladvisories_country_ger__e90c93ceb8ccdcdf3b797f47edee866d
Malta,Malta,Malta,Country,Country,Malta,,dgm_traveladvisories_country_ger,92468e8a62373add2b9caefddbcf1303,dgm_traveladvisories_country_ger__92468e8a62373add2b9caefddbcf1303
Marshallinseln,Marshall Islands,Marshall Islands,Country,Country,Marshall Islands,,dgm_traveladvisories_country_ger,0d682c020f9347a5cfaa8fbd18e92ead,dgm_traveladvisories_country_ger__0d682c020f9347a5cfaa8fbd18e92ead
Mauretanien,Mauritania,Mauritania,Country,Country,Mauritania,,dgm_traveladvisories_country_ger,d7fe73b6846dfc672236e636aa2cf6b5,dgm_traveladvisories_country_ger__d7fe73b6846dfc672236e636aa2cf6b5
Mauritius,Mauritius,Mauritius,Country,Country,Mauritius,,dgm_traveladvisories_country_ger,07f3ca235faaa1c9ad16facef5526d8b,dgm_traveladvisories_country_ger__07f3ca235faaa1c9ad16facef5526d8b
Mexiko,Mexico,Mexico,Country,Country,Mexico,,dgm_traveladvisories_country_ger,8dbb07a18d46f63d8b3c8994d5ccc351,dgm_traveladvisories_country_ger__8dbb07a18d46f63d8b3c8994d5ccc351
Mikronesien,Micronesia,Micronesia,Country,Country,Micronesia,,dgm_traveladvisories_country_ger,19a5a05a4982fef88f96039a43dbcfd8,dgm_traveladvisories_country_ger__19a5a05a4982fef88f96039a43dbcfd8
Moldawien,Moldova,Moldova,Country,Country,Moldova,,dgm_traveladvisories_country_ger,0c12f5495afe76d9242ed25668979de9,dgm_traveladvisories_country_ger__0c12f5495afe76d9242ed25668979de9
Monaco,Monaco,Monaco,Country,Country,Monaco,,dgm_traveladvisories_country_ger,d6a297c6193fd59309453a0db7a51b90,dgm_traveladvisories_country_ger__d6a297c6193fd59309453a0db7a51b90
Mongolei,Mongolia,Mongolia,Country,Country,Mongolia,,dgm_traveladvisories_country_ger,bb6a72b6a93150d4181e50496fc15f5a,dgm_traveladvisories_country_ger__bb6a72b6a93150d4181e50496fc15f5a
Montenegro,Montenegro,Montenegro,Country,Country,Montenegro,,dgm_traveladvisories_country_ger,4e92f9d2cdf0b8eb493ae3a19709d121,dgm_traveladvisories_country_ger__4e92f9d2cdf0b8eb493ae3a19709d121
Marokko,Morocco,Morocco,Country,Country,Morocco,,dgm_traveladvisories_country_ger,4d4a1722d8e85909a576da2c42878ff0,dgm_traveladvisories_country_ger__4d4a1722d8e85909a576da2c42878ff0
