german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
guntherstrasse,"Guntherstrasse in Solingen, Germany",51.190334,7.078347,1,,,,,,,,,Exec,"Guntherstrasse in Solingen, Germany",,german_fires_solingen_locations,9f61bcdff8d6fad8621f0b3ec664ce49,german_fires_solingen_locations__9f61bcdff8d6fad8621f0b3ec664ce49
gutenbergstrasse,"Gutenbergstrasse in Solingen, Germany",51.1630153,7.0917565,1,,,,,,,,,DiplomaticFacilities,"Gutenbergstrasse in Solingen, Germany",,german_fires_solingen_locations,1351e2c52faddd6d7f1ecfa715ab26ef,german_fires_solingen_locations__1351e2c52faddd6d7f1ecfa715ab26ef
haaner berg,"Haaner Berg in Solingen, Germany",51.1857332,7.027097,1,,,,,,,,,Legislator,"Haaner Berg in Solingen, Germany",,german_fires_solingen_locations,0a1edd6865c8af84b85b77b82f2d57e1,german_fires_solingen_locations__0a1edd6865c8af84b85b77b82f2d57e1
haaner strasse,"Haaner Strasse in Solingen, Germany",51.1821061,7.0184762,1,,,,,,,,,Wells,"Haaner Strasse in Solingen, Germany",,german_fires_solingen_locations,5985d31c27d6b58da4875fd53c3062de,german_fires_solingen_locations__5985d31c27d6b58da4875fd53c3062de
habichthohe,"Habichthohe in Solingen, Germany",51.1525098,7.0801908,1,,,,,,,,,AAEntity,"Habichthohe in Solingen, Germany",,german_fires_solingen_locations,98c3c1e84705454d9f6af919d33a5ef1,german_fires_solingen_locations__98c3c1e84705454d9f6af919d33a5ef1
hacketauerstrasse,"Hacketauerstrasse in Solingen, Germany",51.1650761,7.1060058,1,,,,,,,,,Wells,"Hacketauerstrasse in Solingen, Germany",,german_fires_solingen_locations,019dbbb283758801b5a04b71aaa458b6,german_fires_solingen_locations__019dbbb283758801b5a04b71aaa458b6
hackhauser strasse,"Hackhauser Strasse in Solingen, Germany",51.1568103,6.9995101,1,,,,,,,,,Refinery,"Hackhauser Strasse in Solingen, Germany",,german_fires_solingen_locations,059b24cb2597e29dc524488fb6abac7b,german_fires_solingen_locations__059b24cb2597e29dc524488fb6abac7b
hagedornweg,"Hagedornweg in Solingen, Germany",51.1503509,7.0070517,1,,,,,,,,,News,"Hagedornweg in Solingen, Germany",,german_fires_solingen_locations,6d750802e4bdeb71d7e93f302d3dd8ad,german_fires_solingen_locations__6d750802e4bdeb71d7e93f302d3dd8ad
hagenstrasse,"Hagenstrasse in Solingen, Germany",51.195162,7.0770612,1,,,,,,,,,Organization,"Hagenstrasse in Solingen, Germany",,german_fires_solingen_locations,34e45ff4e727fe95c1562d77622ec2aa,german_fires_solingen_locations__34e45ff4e727fe95c1562d77622ec2aa
hahnenhaus,"Hahnenhaus in Solingen, Germany",51.1923109,7.0603389,1,,,,,,,,,CompanyKeyword,"Hahnenhaus in Solingen, Germany",,german_fires_solingen_locations,dfd8963cd10d5629cac51f44c515ebf2,german_fires_solingen_locations__dfd8963cd10d5629cac51f44c515ebf2
hahnenhauser feld,"Hahnenhauser Feld in Solingen, Germany",51.1918163,7.0614469,1,,,,,,,,,Media,"Hahnenhauser Feld in Solingen, Germany",,german_fires_solingen_locations,445106d593bc18ee67fe8b6c56ada556,german_fires_solingen_locations__445106d593bc18ee67fe8b6c56ada556
hahnenhausstrasse,"Hahnenhausstrasse in Solingen, Germany",51.1914442,7.0611069,1,,,,,,,,,News,"Hahnenhausstrasse in Solingen, Germany",,german_fires_solingen_locations,e0c8fb18405a53dfe23a4109acbc1d9f,german_fires_solingen_locations__e0c8fb18405a53dfe23a4109acbc1d9f
hahnstrasse,"Hahnstrasse in Solingen, Germany",51.1385066,7.1576476,1,,,,,,,,,FTO,"Hahnstrasse in Solingen, Germany",,german_fires_solingen_locations,bc2a6b4d877d26c41432d8dcde6350b5,german_fires_solingen_locations__bc2a6b4d877d26c41432d8dcde6350b5
halfenweiherplatz,"Halfenweiherplatz in Solingen, Germany",51.1831759,7.0443597,1,,,,,,,,,DiplomaticFacilities,"Halfenweiherplatz in Solingen, Germany",,german_fires_solingen_locations,59dc74b230a43f52a744774894c672ff,german_fires_solingen_locations__59dc74b230a43f52a744774894c672ff
halfeshof,"Halfeshof in Solingen, Germany",51.1695249,7.1190153,1,,,,,,,,,Organization,"Halfeshof in Solingen, Germany",,german_fires_solingen_locations,cc9c5fb86c3e86f8e0bea81806dbaced,german_fires_solingen_locations__cc9c5fb86c3e86f8e0bea81806dbaced
halfesweg,"Halfesweg in Solingen, Germany",51.1653115,7.1120136,1,,,,,,,,,Consulates,"Halfesweg in Solingen, Germany",,german_fires_solingen_locations,084a7117355c9246ce84f95b3023d550,german_fires_solingen_locations__084a7117355c9246ce84f95b3023d550
hamburger strasse,"Hamburger Strasse in Solingen, Germany",51.1682811,6.9913217,1,,,,,,,,,Keyphrase,"Hamburger Strasse in Solingen, Germany",,german_fires_solingen_locations,ac11de6e93d3226d045d29d0d15a7ad9,german_fires_solingen_locations__ac11de6e93d3226d045d29d0d15a7ad9
hammerfeldweg,"Hammerfeldweg in Solingen, Germany",51.1617732,7.0569168,1,,,,,,,,,ForeignMinistry,"Hammerfeldweg in Solingen, Germany",,german_fires_solingen_locations,8b9cf1866030c713f3469afec4a263e5,german_fires_solingen_locations__8b9cf1866030c713f3469afec4a263e5
hammerstrasse,"Hammerstrasse in Solingen, Germany",51.1649084,7.0305848,1,,,,,,,,,Refinery,"Hammerstrasse in Solingen, Germany",,german_fires_solingen_locations,c29c114a9c7cbc7cee8a05b278bfdbe7,german_fires_solingen_locations__c29c114a9c7cbc7cee8a05b278bfdbe7
