keyword,keyword_upper,caption_name,location,location_lower,type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
justicekagan,justicekagan,US Supreme Court Justice Elena Kagan,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Elena Kagan,,dgm_SCOTUS,36d483749c0813c189c932213d05f2f6,dgm_SCOTUS__36d483749c0813c189c932213d05f2f6
elena kagan,elena kagan,US Supreme Court Justice Elena Kagan,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Elena Kagan,,dgm_SCOTUS,36d483749c0813c189c932213d05f2f6,dgm_SCOTUS__36d483749c0813c189c932213d05f2f6
justice kagan,justice kagan,US Supreme Court Justice Elena Kagan,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Elena Kagan,,dgm_SCOTUS,36d483749c0813c189c932213d05f2f6,dgm_SCOTUS__36d483749c0813c189c932213d05f2f6
associatejustice,associatejustice,US Supreme Court Associate Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Associate Justice,,dgm_SCOTUS,7dee6607ee7e7897694966b84c3d6caf,dgm_SCOTUS__7dee6607ee7e7897694966b84c3d6caf
associatejustices,associatejustices,US Supreme Court Associate Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Associate Justice,,dgm_SCOTUS,7dee6607ee7e7897694966b84c3d6caf,dgm_SCOTUS__7dee6607ee7e7897694966b84c3d6caf
the associate justice,the associate justice,US Supreme Court Associate Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Associate Justice,,dgm_SCOTUS,7dee6607ee7e7897694966b84c3d6caf,dgm_SCOTUS__7dee6607ee7e7897694966b84c3d6caf
the associate justices,the associate justices,US Supreme Court Associate Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Associate Justice,,dgm_SCOTUS,7dee6607ee7e7897694966b84c3d6caf,dgm_SCOTUS__7dee6607ee7e7897694966b84c3d6caf
associate justice,associate justice,US Supreme Court Associate Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Associate Justice,,dgm_SCOTUS,7dee6607ee7e7897694966b84c3d6caf,dgm_SCOTUS__7dee6607ee7e7897694966b84c3d6caf
associate justices,associate justices,US Supreme Court Associate Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Associate Justice,,dgm_SCOTUS,7dee6607ee7e7897694966b84c3d6caf,dgm_SCOTUS__7dee6607ee7e7897694966b84c3d6caf
chiefjustice,chiefjustice,US Supreme Court Chief Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Chief Justice,,dgm_SCOTUS,38d8c7070c9ea4ce6ffe89fa98d6680b,dgm_SCOTUS__38d8c7070c9ea4ce6ffe89fa98d6680b
chiefjustices,chiefjustices,US Supreme Court Chief Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Chief Justice,,dgm_SCOTUS,38d8c7070c9ea4ce6ffe89fa98d6680b,dgm_SCOTUS__38d8c7070c9ea4ce6ffe89fa98d6680b
the chief justice,the chief justice,US Supreme Court Chief Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Chief Justice,,dgm_SCOTUS,38d8c7070c9ea4ce6ffe89fa98d6680b,dgm_SCOTUS__38d8c7070c9ea4ce6ffe89fa98d6680b
the chief justices,the chief justices,US Supreme Court Chief Justice,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Chief Justice,,dgm_SCOTUS,38d8c7070c9ea4ce6ffe89fa98d6680b,dgm_SCOTUS__38d8c7070c9ea4ce6ffe89fa98d6680b
